pricing_sk,product_id,seller_id,category,list_price,discount_pct,final_price,currency,effective_from,effective_to,is_current,change_reason
PR0000075,P100020,S1093,Beauty,14.02,0.0,14.02,USD,2024-01-18,2024-04-06,False,seasonal_sale
PR0000076,P100020,S1093,Beauty,11.59,0.0,11.59,USD,2024-04-07,2024-06-24,False,promotion
PR0000077,P100020,S1093,Beauty,10.52,0.0,10.52,USD,2024-06-25,,True,competitor_price_match
PR0000078,P100021,S1811,Home & Kitchen,62.5,0.0,62.5,USD,2024-01-25,2024-05-30,False,promotion
PR0000079,P100021,S1811,Home & Kitchen,64.66,0.0,64.66,USD,2024-05-31,2024-07-17,False,inventory_clearance
PR0000080,P100021,S1811,Home & Kitchen,55.39,0.26,40.99,USD,2024-07-18,,True,regular_update
PR0000081,P100022,S1479,Home & Kitchen,122.46,0.0,122.46,USD,2024-02-26,2024-04-14,False,inventory_clearance
PR0000082,P100022,S1479,Home & Kitchen,107.19,0.21,84.68,USD,2024-04-15,2024-07-28,False,promotion
PR0000083,P100022,S1479,Home & Kitchen,104.15,0.0,104.15,USD,2024-07-29,2024-12-02,False,regular_update
PR0000084,P100022,S1479,Home & Kitchen,107.09,0.0,107.09,USD,2024-12-03,,True,regular_update
PR0000085,P100023,S1738,Sports,85.95,0.0,85.95,USD,2024-01-17,2024-05-12,False,seasonal_sale
PR0000086,P100023,S1738,Sports,84.61,0.28,60.92,USD,2024-05-13,2024-06-29,False,inventory_clearance
PR0000087,P100023,S1738,Sports,94.25,0.19,76.34,USD,2024-06-30,2024-08-23,False,seasonal_sale
PR0000088,P100023,S1738,Sports,96.92,0.0,96.92,USD,2024-08-24,,True,seasonal_sale
PR0000089,P100024,S1445,Sports,50.26,0.0,50.26,USD,2024-02-04,2024-06-01,False,competitor_price_match
PR0000090,P100024,S1445,Sports,59.28,0.0,59.28,USD,2024-06-02,2024-07-31,False,competitor_price_match
PR0000091,P100024,S1445,Sports,52.99,0.0,52.99,USD,2024-08-01,2024-10-13,False,seasonal_sale
PR0000092,P100024,S1445,Sports,49.37,0.28,35.55,USD,2024-10-14,,True,inventory_clearance
PR0000093,P100025,S1269,Grocery,14.69,0.17,12.19,USD,2024-02-24,2024-05-04,False,seasonal_sale
PR0000094,P100025,S1269,Grocery,13.23,0.0,13.23,USD,2024-05-05,,True,inventory_clearance
PR0000095,P100026,S1305,Fashion,33.06,0.0,33.06,USD,2024-01-21,2024-04-25,False,seasonal_sale
PR0000096,P100026,S1305,Fashion,35.24,0.0,35.24,USD,2024-04-26,,True,promotion
PR0000097,P100027,S1552,Beauty,49.73,0.0,49.73,USD,2024-02-27,2024-04-22,False,promotion
PR0000098,P100027,S1552,Beauty,52.96,0.0,52.96,USD,2024-04-23,2024-06-21,False,regular_update
PR0000099,P100027,S1552,Beauty,50.82,0.06,47.77,USD,2024-06-22,2024-08-01,False,seasonal_sale
PR0000100,P100027,S1552,Beauty,42.52,0.0,42.52,USD,2024-08-02,,True,regular_update
PR0000101,P100028,S1019,Electronics,12.66,0.0,12.66,USD,2024-02-18,2024-05-29,False,inventory_clearance
PR0000102,P100028,S1019,Electronics,14.42,0.26,10.67,USD,2024-05-30,2024-08-31,False,regular_update
PR0000103,P100028,S1019,Electronics,15.95,0.0,15.95,USD,2024-09-01,2024-11-27,False,regular_update
PR0000104,P100028,S1019,Electronics,15.92,0.17,13.21,USD,2024-11-28,,True,seasonal_sale
PR0000105,P100029,S1246,Books,39.73,0.0,39.73,USD,2024-02-29,2024-04-27,False,inventory_clearance
PR0000106,P100029,S1246,Books,46.88,0.0,46.88,USD,2024-04-28,2024-08-25,False,competitor_price_match
PR0000107,P100029,S1246,Books,44.52,0.0,44.52,USD,2024-08-26,,True,competitor_price_match
PR0000108,P100030,S1835,Home & Kitchen,33.1,0.0,33.1,USD,2024-01-01,2024-05-06,False,regular_update
PR0000109,P100030,S1835,Home & Kitchen,38.31,0.0,38.31,USD,2024-05-07,,True,inventory_clearance
PR0000110,P100031,S1562,Fashion,98.63,0.0,98.63,USD,2024-02-16,2024-06-19,False,promotion
PR0000111,P100031,S1562,Fashion,103.85,0.0,103.85,USD,2024-06-20,2024-09-25,False,seasonal_sale
PR0000112,P100031,S1562,Fashion,93.57,0.34,61.76,USD,2024-09-26,2025-01-31,False,inventory_clearance
PR0000113,P100031,S1562,Fashion,85.55,0.0,85.55,USD,2025-02-01,,True,seasonal_sale
PR0000114,P100032,S1216,Sports,6.34,0.0,6.34,USD,2024-01-28,2024-05-13,False,regular_update
PR0000115,P100032,S1216,Sports,6.51,0.0,6.51,USD,2024-05-14,,True,inventory_clearance
PR0000116,P100033,S1665,Beauty,13.83,0.19,11.2,USD,2024-02-24,2024-04-11,False,seasonal_sale
PR0000117,P100033,S1665,Beauty,15.86,0.19,12.85,USD,2024-04-12,2024-08-18,False,regular_update
PR0000118,P100033,S1665,Beauty,14.47,0.0,14.47,USD,2024-08-19,,True,regular_update
PR0000119,P100034,S1253,Grocery,35.36,0.0,35.36,USD,2024-01-26,2024-03-01,False,competitor_price_match
PR0000120,P100034,S1253,Grocery,35.29,0.25,26.47,USD,2024-03-02,2024-04-12,False,promotion
PR0000121,P100034,S1253,Grocery,29.98,0.0,29.98,USD,2024-04-13,2024-06-02,False,inventory_clearance
PR0000122,P100034,S1253,Grocery,31.38,0.0,31.38,USD,2024-06-03,,True,inventory_clearance
PR0000123,P100035,S1567,Home & Kitchen,6.68,0.0,6.68,USD,2024-01-31,2024-04-04,False,seasonal_sale
PR0000124,P100035,S1567,Home & Kitchen,5.67,0.0,5.67,USD,2024-04-05,2024-07-23,False,competitor_price_match
PR0000125,P100035,S1567,Home & Kitchen,5.76,0.0,5.76,USD,2024-07-24,,True,regular_update
PR0000126,P100036,S1646,Beauty,107.84,0.0,107.84,USD,2024-01-23,2024-05-03,False,competitor_price_match
PR0000127,P100036,S1646,Beauty,120.35,0.0,120.35,USD,2024-05-04,2024-06-22,False,competitor_price_match
PR0000128,P100036,S1646,Beauty,116.45,0.0,116.45,USD,2024-06-23,,True,regular_update
PR0000129,P100037,S1072,Beauty,9.56,0.0,9.56,USD,2024-01-26,2024-05-06,False,inventory_clearance
PR0000130,P100037,S1072,Beauty,10.61,0.0,10.61,USD,2024-05-07,2024-08-23,False,regular_update
PR0000131,P100037,S1072,Beauty,11.23,0.0,11.23,USD,2024-08-24,2024-12-14,False,inventory_clearance
PR0000132,P100037,S1072,Beauty,12.86,0.0,12.86,USD,2024-12-15,,True,inventory_clearance
PR0000133,P100038,S1219,Beauty,13.71,0.0,13.71,USD,2024-02-12,2024-05-12,False,inventory_clearance
PR0000134,P100038,S1219,Beauty,12.3,0.0,12.3,USD,2024-05-13,2024-08-16,False,competitor_price_match
PR0000135,P100038,S1219,Beauty,12.53,0.06,11.78,USD,2024-08-17,,True,inventory_clearance
PR0000136,P100039,S1248,Fashion,48.63,0.0,48.63,USD,2024-01-28,2024-04-14,False,inventory_clearance
PR0000137,P100039,S1248,Fashion,49.14,0.0,49.14,USD,2024-04-15,2024-07-13,False,competitor_price_match
PR0000138,P100039,S1248,Fashion,53.35,0.0,53.35,USD,2024-07-14,2024-11-10,False,regular_update
PR0000139,P100039,S1248,Fashion,58.0,0.07,53.94,USD,2024-11-11,,True,regular_update
PR0000140,P100040,S1674,Toys,43.39,0.0,43.39,USD,2024-02-14,2024-04-30,False,seasonal_sale
PR0000141,P100040,S1674,Toys,36.67,0.0,36.67,USD,2024-05-01,2024-07-04,False,competitor_price_match
PR0000142,P100040,S1674,Toys,33.54,0.0,33.54,USD,2024-07-05,2024-09-15,False,promotion
PR0000143,P100040,S1674,Toys,36.54,0.13,31.79,USD,2024-09-16,,True,seasonal_sale
PR0000144,P100041,S1884,Books,6.82,0.16,5.73,USD,2024-01-10,2024-03-23,False,regular_update
PR0000145,P100041,S1884,Books,5.99,0.0,5.99,USD,2024-03-24,2024-05-19,False,competitor_price_match
PR0000146,P100041,S1884,Books,5.09,0.0,5.09,USD,2024-05-20,,True,promotion
PR0000147,P100042,S1347,Home & Kitchen,34.81,0.0,34.81,USD,2024-01-01,2024-03-09,False,promotion
PR0000148,P100042,S1347,Home & Kitchen,31.89,0.0,31.89,USD,2024-03-10,2024-05-28,False,seasonal_sale
PR0000149,P100042,S1347,Home & Kitchen,36.0,0.0,36.0,USD,2024-05-29,2024-07-30,False,competitor_price_match
PR0000150,P100042,S1347,Home & Kitchen,30.57,0.24,23.23,USD,2024-07-31,,True,regular_update
PR0000151,P100043,S1459,Beauty,16.87,0.34,11.13,USD,2024-02-23,2024-04-22,False,competitor_price_match
PR0000152,P100043,S1459,Beauty,15.58,0.18,12.78,USD,2024-04-23,2024-07-29,False,competitor_price_match
PR0000153,P100043,S1459,Beauty,16.2,0.0,16.2,USD,2024-07-30,2024-11-05,False,regular_update
PR0000154,P100043,S1459,Beauty,19.0,0.0,19.0,USD,2024-11-06,2025-01-13,False,promotion
PR0000155,P100043,S1459,Beauty,18.16,0.0,18.16,USD,2025-01-14,,True,promotion
PR0000156,P100044,S1255,Toys,35.24,0.0,35.24,USD,2024-02-04,2024-05-04,False,inventory_clearance
PR0000157,P100044,S1255,Toys,40.6,0.0,40.6,USD,2024-05-05,2024-06-13,False,competitor_price_match
PR0000158,P100044,S1255,Toys,35.68,0.0,35.68,USD,2024-06-14,2024-10-05,False,inventory_clearance
PR0000159,P100044,S1255,Toys,35.38,0.12,31.13,USD,2024-10-06,,True,inventory_clearance
PR0000160,P100045,S1667,Grocery,14.72,0.0,14.72,USD,2024-02-01,2024-03-28,False,promotion
PR0000161,P100045,S1667,Grocery,16.03,0.0,16.03,USD,2024-03-29,2024-07-29,False,seasonal_sale
PR0000162,P100045,S1667,Grocery,18.0,0.21,14.22,USD,2024-07-30,,True,regular_update
PR0000163,P100046,S1416,Electronics,7.12,0.0,7.12,USD,2024-02-05,2024-03-13,False,inventory_clearance
PR0000164,P100046,S1416,Electronics,6.66,0.0,6.66,USD,2024-03-14,2024-06-14,False,regular_update
PR0000165,P100046,S1416,Electronics,6.63,0.0,6.63,USD,2024-06-15,,True,regular_update
PR0000166,P100047,S1168,Grocery,31.38,0.0,31.38,USD,2024-01-18,2024-03-25,False,promotion
PR0000167,P100047,S1168,Grocery,30.03,0.0,30.03,USD,2024-03-26,,True,competitor_price_match
PR0000168,P100048,S1292,Electronics,25.57,0.0,25.57,USD,2024-01-27,2024-04-29,False,seasonal_sale
PR0000169,P100048,S1292,Electronics,26.53,0.0,26.53,USD,2024-04-30,2024-08-10,False,competitor_price_match
PR0000170,P100048,S1292,Electronics,22.14,0.0,22.14,USD,2024-08-11,,True,promotion
PR0000171,P100049,S1222,Grocery,7.05,0.28,5.08,USD,2024-01-20,2024-05-26,False,regular_update
PR0000172,P100049,S1222,Grocery,7.04,0.0,7.04,USD,2024-05-27,2024-08-09,False,inventory_clearance
PR0000173,P100049,S1222,Grocery,6.77,0.23,5.21,USD,2024-08-10,,True,inventory_clearance
PR0000174,P100050,S1598,Electronics,36.99,0.0,36.99,USD,2024-01-18,2024-04-19,False,regular_update
PR0000175,P100050,S1598,Electronics,32.66,0.11,29.07,USD,2024-04-20,2024-08-11,False,regular_update
PR0000176,P100050,S1598,Electronics,33.31,0.0,33.31,USD,2024-08-12,,True,regular_update
PR0000177,P100051,S1871,Fashion,12.85,0.0,12.85,USD,2024-01-09,2024-04-27,False,competitor_price_match
PR0000178,P100051,S1871,Fashion,13.38,0.0,13.38,USD,2024-04-28,2024-08-05,False,inventory_clearance
PR0000179,P100051,S1871,Fashion,14.16,0.0,14.16,USD,2024-08-06,,True,promotion
PR0000180,P100052,S1882,Home & Kitchen,27.27,0.0,27.27,USD,2024-02-21,2024-06-29,False,competitor_price_match
PR0000181,P100052,S1882,Home & Kitchen,24.15,0.0,24.15,USD,2024-06-30,2024-09-19,False,seasonal_sale
PR0000182,P100052,S1882,Home & Kitchen,26.5,0.0,26.5,USD,2024-09-20,,True,regular_update
PR0000183,P100053,S1592,Toys,11.5,0.11,10.23,USD,2024-02-10,2024-06-09,False,regular_update
PR0000184,P100053,S1592,Toys,10.59,0.0,10.59,USD,2024-06-10,2024-07-23,False,promotion
PR0000185,P100053,S1592,Toys,11.71,0.0,11.71,USD,2024-07-24,,True,inventory_clearance
PR0000186,P100054,S1673,Electronics,8.52,0.0,8.52,USD,2024-02-04,2024-05-12,False,competitor_price_match
PR0000187,P100054,S1673,Electronics,8.08,0.0,8.08,USD,2024-05-13,2024-08-27,False,competitor_price_match
PR0000188,P100054,S1673,Electronics,8.33,0.0,8.33,USD,2024-08-28,2024-12-28,False,inventory_clearance
PR0000189,P100054,S1673,Electronics,7.26,0.0,7.26,USD,2024-12-29,2025-04-20,False,inventory_clearance
PR0000190,P100054,S1673,Electronics,8.45,0.28,6.08,USD,2025-04-21,,True,seasonal_sale
PR0000191,P100055,S1733,Books,30.15,0.0,30.15,USD,2024-01-14,2024-03-11,False,promotion
PR0000192,P100055,S1733,Books,24.76,0.0,24.76,USD,2024-03-12,,True,seasonal_sale
PR0000193,P100056,S1687,Beauty,12.0,0.14,10.32,USD,2024-01-18,2024-05-08,False,promotion
PR0000194,P100056,S1687,Beauty,11.73,0.0,11.73,USD,2024-05-09,2024-08-22,False,regular_update
PR0000195,P100056,S1687,Beauty,11.87,0.0,11.87,USD,2024-08-23,2024-11-28,False,competitor_price_match
PR0000196,P100056,S1687,Beauty,13.58,0.0,13.58,USD,2024-11-29,2025-03-26,False,regular_update
PR0000197,P100056,S1687,Beauty,13.73,0.0,13.73,USD,2025-03-27,,True,inventory_clearance
PR0000198,P100057,S1469,Grocery,18.06,0.0,18.06,USD,2024-01-14,2024-04-03,False,regular_update
PR0000199,P100057,S1469,Grocery,15.08,0.0,15.08,USD,2024-04-04,,True,regular_update
PR0000200,P100058,S1518,Home & Kitchen,112.19,0.0,112.19,USD,2024-01-06,2024-03-18,False,inventory_clearance
PR0000201,P100058,S1518,Home & Kitchen,107.62,0.0,107.62,USD,2024-03-19,2024-07-04,False,seasonal_sale
PR0000202,P100058,S1518,Home & Kitchen,102.46,0.0,102.46,USD,2024-07-05,2024-08-26,False,seasonal_sale
PR0000203,P100058,S1518,Home & Kitchen,111.9,0.0,111.9,USD,2024-08-27,2024-11-04,False,seasonal_sale
PR0000204,P100058,S1518,Home & Kitchen,117.53,0.0,117.53,USD,2024-11-05,,True,regular_update
PR0000205,P100059,S1378,Fashion,80.85,0.0,80.85,USD,2024-02-07,2024-03-20,False,competitor_price_match
PR0000206,P100059,S1378,Fashion,84.16,0.0,84.16,USD,2024-03-21,2024-07-22,False,promotion
PR0000207,P100059,S1378,Fashion,81.67,0.0,81.67,USD,2024-07-23,,True,inventory_clearance
PR0000208,P100060,S1309,Fashion,40.46,0.0,40.46,USD,2024-01-12,2024-04-26,False,competitor_price_match
PR0000209,P100060,S1309,Fashion,35.11,0.0,35.11,USD,2024-04-27,2024-07-31,False,seasonal_sale
PR0000210,P100060,S1309,Fashion,40.96,0.0,40.96,USD,2024-08-01,,True,inventory_clearance
PR0000211,P100061,S1106,Electronics,5.89,0.0,5.89,USD,2024-02-24,2024-04-21,False,regular_update
PR0000212,P100061,S1106,Electronics,6.42,0.0,6.42,USD,2024-04-22,2024-08-26,False,promotion
PR0000213,P100061,S1106,Electronics,6.19,0.0,6.19,USD,2024-08-27,,True,competitor_price_match
PR0000214,P100062,S1566,Sports,47.6,0.0,47.6,USD,2024-02-02,2024-04-07,False,competitor_price_match
PR0000215,P100062,S1566,Sports,54.44,0.0,54.44,USD,2024-04-08,2024-06-27,False,regular_update
PR0000216,P100062,S1566,Sports,45.91,0.31,31.68,USD,2024-06-28,,True,seasonal_sale
PR0000217,P100063,S1734,Sports,32.27,0.27,23.56,USD,2024-01-30,2024-03-13,False,competitor_price_match
PR0000218,P100063,S1734,Sports,35.27,0.0,35.27,USD,2024-03-14,2024-06-21,False,promotion
PR0000219,P100063,S1734,Sports,40.73,0.0,40.73,USD,2024-06-22,2024-09-20,False,inventory_clearance
PR0000220,P100063,S1734,Sports,46.2,0.0,46.2,USD,2024-09-21,,True,promotion
PR0000221,P100064,S1257,Beauty,9.88,0.0,9.88,USD,2024-01-07,2024-05-09,False,promotion
PR0000222,P100064,S1257,Beauty,8.24,0.0,8.24,USD,2024-05-10,2024-09-13,False,competitor_price_match
PR0000223,P100064,S1257,Beauty,7.14,0.0,7.14,USD,2024-09-14,,True,inventory_clearance
PR0000224,P100065,S1003,Home & Kitchen,19.45,0.26,14.39,USD,2024-02-19,2024-04-22,False,inventory_clearance
PR0000225,P100065,S1003,Home & Kitchen,22.37,0.13,19.46,USD,2024-04-23,2024-06-11,False,competitor_price_match
PR0000226,P100065,S1003,Home & Kitchen,23.72,0.0,23.72,USD,2024-06-12,2024-09-06,False,inventory_clearance
PR0000227,P100065,S1003,Home & Kitchen,21.03,0.0,21.03,USD,2024-09-07,,True,inventory_clearance
PR0000228,P100066,S1452,Fashion,87.13,0.0,87.13,USD,2024-02-25,2024-06-30,False,seasonal_sale
PR0000229,P100066,S1452,Fashion,91.42,0.0,91.42,USD,2024-07-01,,True,seasonal_sale
PR0000230,P100067,S1077,Toys,64.52,0.0,64.52,USD,2024-02-05,2024-04-13,False,inventory_clearance
PR0000231,P100067,S1077,Toys,54.62,0.0,54.62,USD,2024-04-14,2024-08-12,False,regular_update
PR0000232,P100067,S1077,Toys,48.02,0.0,48.02,USD,2024-08-13,2024-12-07,False,inventory_clearance
PR0000233,P100067,S1077,Toys,55.04,0.0,55.04,USD,2024-12-08,2025-03-18,False,seasonal_sale
PR0000234,P100067,S1077,Toys,60.98,0.0,60.98,USD,2025-03-19,,True,competitor_price_match
PR0000235,P100068,S1151,Electronics,3.97,0.0,3.97,USD,2024-02-01,2024-03-09,False,inventory_clearance
PR0000236,P100068,S1151,Electronics,4.52,0.29,3.21,USD,2024-03-10,2024-05-03,False,competitor_price_match
PR0000237,P100068,S1151,Electronics,4.04,0.0,4.04,USD,2024-05-04,,True,regular_update
PR0000238,P100069,S1815,Fashion,35.5,0.32,24.14,USD,2024-01-16,2024-05-20,False,promotion
PR0000239,P100069,S1815,Fashion,38.16,0.0,38.16,USD,2024-05-21,2024-08-21,False,regular_update
PR0000240,P100069,S1815,Fashion,40.36,0.0,40.36,USD,2024-08-22,2024-12-29,False,promotion
PR0000241,P100069,S1815,Fashion,41.62,0.0,41.62,USD,2024-12-30,2025-04-02,False,promotion
PR0000242,P100069,S1815,Fashion,34.66,0.21,27.38,USD,2025-04-03,,True,competitor_price_match
PR0000243,P100070,S1682,Books,33.28,0.0,33.28,USD,2024-02-10,2024-04-24,False,inventory_clearance
PR0000244,P100070,S1682,Books,32.95,0.0,32.95,USD,2024-04-25,,True,seasonal_sale
PR0000245,P100071,S1767,Books,20.13,0.0,20.13,USD,2024-01-05,2024-03-20,False,regular_update
PR0000246,P100071,S1767,Books,19.29,0.0,19.29,USD,2024-03-21,2024-04-28,False,competitor_price_match
PR0000247,P100071,S1767,Books,22.02,0.0,22.02,USD,2024-04-29,,True,inventory_clearance
PR0000248,P100072,S1025,Beauty,12.58,0.17,10.44,USD,2024-02-03,2024-03-29,False,promotion
PR0000249,P100072,S1025,Beauty,14.46,0.0,14.46,USD,2024-03-30,,True,seasonal_sale
PR0000250,P100073,S1830,Books,19.35,0.15,16.45,USD,2024-02-24,2024-06-15,False,regular_update
PR0000251,P100073,S1830,Books,17.3,0.0,17.3,USD,2024-06-16,,True,seasonal_sale
PR0000252,P100074,S1391,Sports,54.06,0.0,54.06,USD,2024-02-07,2024-03-18,False,promotion
