product_id,product_name,category,subcategory,brand,seller_id,launch_date,base_price,warehouse_id,is_active,weight_kg,product_rating_initial
P100044,PureGlow Board Games Item 00044,Toys,Board Games,Toyverse,S1255,2025-03-02,39.35,WH-NA-03,True,7.7,3.4
P100045,NovaTech Breakfast Item 00045,Grocery,Breakfast,Astra,S1667,2025-02-23,12.92,WH-LA-02,True,0.99,4.27
P100046,UrbanWear Smartphones Item 00046,Electronics,Smartphones,HomePro,S1416,2024-06-21,6.35,WH-AP-04,True,3.52,4.78
P100047,BookNest Beverages Item 00047,Grocery,Beverages,Astra,S1168,2024-11-15,36.1,WH-AP-01,True,19.84,3.49
P100048,PureGlow Headphones Item 00048,Electronics,Headphones,Toyverse,S1292,2025-03-10,25.82,WH-AP-02,True,1.79,3.66
P100049,UrbanWear Beverages Item 00049,Grocery,Beverages,PureGlow,S1222,2023-11-10,6.41,WH-NA-02,True,3.26,2.6
P100050,Astra Cameras Item 00050,Electronics,Cameras,Astra,S1598,2024-09-04,32.0,WH-AP-04,True,0.34,3.04
P100051,FreshMart Men Clothing Item 00051,Fashion,Men Clothing,NovaTech,S1871,2023-12-16,14.19,WH-EU-02,True,2.94,4.32
P100052,NovaTech Decor Item 00052,Home & Kitchen,Decor,Zenith,S1882,2024-10-31,24.81,WH-EU-04,True,3.46,3.58
P100053,EcoLine STEM Toys Item 00053,Toys,STEM Toys,UrbanWear,S1592,2024-04-18,12.89,WH-LA-04,False,4.5,4.24
P100054,NovaTech Wearables Item 00054,Electronics,Wearables,BookNest,S1673,2024-05-27,9.97,WH-LA-03,True,1.91,2.73
P100055,UrbanWear Business Item 00055,Books,Business,Zenith,S1733,2024-12-04,30.06,WH-ME-03,True,9.85,3.55
P100056,BookNest Haircare Item 00056,Beauty,Haircare,HomePro,S1687,2023-03-27,14.18,WH-ME-02,True,0.75,2.62
P100057,NovaTech Pantry Item 00057,Grocery,Pantry,Astra,S1469,2023-08-06,20.53,WH-LA-04,True,8.16,3.37
P100058,FreshMart Cookware Item 00058,Home & Kitchen,Cookware,UrbanWear,S1518,2025-01-31,119.68,WH-ME-01,True,1.65,2.61
P100059,NovaTech Shoes Item 00059,Fashion,Shoes,UrbanWear,S1378,2024-03-17,72.31,WH-ME-02,True,0.62,4.21
P100060,FreshMart Bags Item 00060,Fashion,Bags,CloudNine,S1309,2023-09-15,37.56,WH-LA-04,True,2.8,4.85
P100061,PureGlow Wearables Item 00061,Electronics,Wearables,Zenith,S1106,2024-01-15,5.91,WH-EU-01,True,5.89,4.55
P100062,NovaTech Fitness Item 00062,Sports,Fitness,CloudNine,S1566,2023-06-17,57.56,WH-EU-01,True,3.47,2.67
P100063,EcoLine Cycling Item 00063,Sports,Cycling,UrbanWear,S1734,2025-04-28,30.29,WH-ME-03,True,1.48,4.2
P100064,FreshMart Haircare Item 00064,Beauty,Haircare,Toyverse,S1257,2023-07-15,9.69,WH-NA-02,True,1.22,4.84
P100065,PureGlow Cleaning Item 00065,Home & Kitchen,Cleaning,Astra,S1003,2025-01-30,22.93,WH-ME-03,True,1.64,3.92
P100066,HomePro Shoes Item 00066,Fashion,Shoes,CloudNine,S1452,2024-07-01,82.11,WH-LA-02,True,3.67,3.35
P100067,Astra Puzzles Item 00067,Toys,Puzzles,NovaTech,S1077,2023-08-05,78.62,WH-EU-01,True,1.74,3.84
P100068,EcoLine Cameras Item 00068,Electronics,Cameras,FreshMart,S1151,2024-02-01,3.89,WH-AP-02,True,2.35,2.53
P100069,PureGlow Men Clothing Item 00069,Fashion,Men Clothing,FitPeak,S1815,2024-01-19,31.28,WH-NA-02,True,2.26,2.71
P100070,Zenith Education Item 00070,Books,Education,UrbanWear,S1682,2024-04-13,28.54,WH-NA-04,True,1.24,4.47
P100071,BookNest Children Item 00071,Books,Children,EcoLine,S1767,2024-02-02,24.31,WH-EU-01,True,1.13,4.72
P100072,HomePro Makeup Item 00072,Beauty,Makeup,BookNest,S1025,2024-08-10,13.21,WH-EU-02,True,1.93,4.67
P100073,Zenith Comics Item 00073,Books,Comics,CloudNine,S1830,2023-06-17,20.21,WH-EU-04,True,5.56,4.27
P100074,CloudNine Outdoor Item 00074,Sports,Outdoor,NovaTech,S1391,2024-05-25,58.31,WH-NA-02,True,1.68,3.38
P100075,UrbanWear Beverages Item 00075,Grocery,Beverages,Toyverse,S1358,2023-07-01,21.7,WH-ME-02,True,8.11,3.33
P100076,Astra Makeup Item 00076,Beauty,Makeup,Zenith,S1197,2025-01-23,7.46,WH-AP-01,True,1.77,2.8
P100077,NovaTech Business Item 00077,Books,Business,PureGlow,S1359,2023-01-01,31.25,WH-LA-01,True,1.22,3.5
P100078,FitPeak Puzzles Item 00078,Toys,Puzzles,Astra,S1118,2023-04-27,13.0,WH-ME-01,False,2.41,4.92
P100079,PureGlow Accessories Item 00079,Fashion,Accessories,Astra,S1111,2023-08-17,29.02,WH-LA-04,True,2.52,2.69
P100080,CloudNine Dolls Item 00080,Toys,Dolls,FitPeak,S1446,2023-05-23,17.22,WH-LA-04,True,1.57,3.96
P100081,EcoLine Cleaning Item 00081,Home & Kitchen,Cleaning,UrbanWear,S1260,2024-10-29,22.57,WH-NA-02,True,4.91,4.12
P100082,FreshMart STEM Toys Item 00082,Toys,STEM Toys,FreshMart,S1703,2024-06-23,8.9,WH-EU-03,True,1.57,4.97
P100083,NovaTech Comics Item 00083,Books,Comics,Zenith,S1338,2024-12-24,31.7,WH-LA-04,True,8.18,2.83
P100084,CloudNine Fiction Item 00084,Books,Fiction,PureGlow,S1519,2024-03-25,86.79,WH-ME-02,True,0.42,3.88
P100085,BookNest Dolls Item 00085,Toys,Dolls,CloudNine,S1302,2024-01-09,19.45,WH-LA-02,True,3.12,4.92
P100086,BookNest Women Clothing Item 00086,Fashion,Women Clothing,Zenith,S1388,2025-03-05,10.77,WH-EU-02,True,2.95,4.37
P100087,FreshMart Team Sports Item 00087,Sports,Team Sports,Astra,S1311,2025-02-09,17.06,WH-ME-02,True,1.73,2.82
P100088,EcoLine Fragrance Item 00088,Beauty,Fragrance,EcoLine,S1670,2023-02-20,39.14,WH-ME-03,True,3.2,2.62
P100089,Toyverse Organic Item 00089,Grocery,Organic,Zenith,S1218,2023-04-05,20.22,WH-LA-01,True,3.0,3.8
P100090,Zenith Beverages Item 00090,Grocery,Beverages,NovaTech,S1290,2023-09-25,113.93,WH-LA-01,True,3.39,3.55
P100091,UrbanWear Fiction Item 00091,Books,Fiction,Zenith,S1317,2023-08-17,67.13,WH-EU-04,True,1.06,2.54
P100092,Astra Makeup Item 00092,Beauty,Makeup,Astra,S1250,2025-03-16,41.04,WH-AP-04,True,4.46,4.32
P100093,BookNest Cleaning Item 00093,Home & Kitchen,Cleaning,Zenith,S1589,2023-09-06,114.36,WH-EU-03,True,1.67,4.66
P100094,BookNest Action Figures Item 00094,Toys,Action Figures,UrbanWear,S1151,2023-05-13,66.74,WH-NA-01,True,5.66,2.67
P100095,UrbanWear Cleaning Item 00095,Home & Kitchen,Cleaning,HomePro,S1823,2023-03-10,22.02,WH-LA-01,False,0.25,3.1
P100096,FreshMart Snacks Item 00096,Grocery,Snacks,UrbanWear,S1868,2023-04-21,22.95,WH-NA-04,True,3.28,3.36
P100097,Toyverse Beverages Item 00097,Grocery,Beverages,Zenith,S1543,2023-07-14,12.12,WH-LA-02,True,3.52,3.06
P100098,EcoLine Comics Item 00098,Books,Comics,CloudNine,S1516,2025-02-27,24.81,WH-AP-02,True,1.23,2.8
P100099,CloudNine Beverages Item 00099,Grocery,Beverages,Toyverse,S1460,2023-08-21,16.13,WH-ME-01,True,0.8,3.7
P100100,FreshMart Haircare Item 00100,Beauty,Haircare,Toyverse,S1641,2023-08-02,10.28,WH-EU-04,True,2.29,4.37
P100101,NovaTech Team Sports Item 00101,Sports,Team Sports,CloudNine,S1292,2023-09-10,20.79,WH-EU-04,False,4.39,4.4
P100102,FitPeak Cycling Item 00102,Sports,Cycling,FreshMart,S1082,2023-03-19,25.84,WH-EU-01,True,4.54,3.78
P100103,BookNest Women Clothing Item 00103,Fashion,Women Clothing,CloudNine,S1156,2025-01-20,11.69,WH-EU-03,True,1.87,2.76
P100104,BookNest Cleaning Item 00104,Home & Kitchen,Cleaning,FitPeak,S1555,2024-09-22,48.25,WH-AP-03,True,1.45,4.73
P100105,UrbanWear STEM Toys Item 00105,Toys,STEM Toys,BookNest,S1398,2023-07-31,10.9,WH-LA-03,True,6.11,3.96
P100106,BookNest Wearables Item 00106,Electronics,Wearables,Toyverse,S1006,2024-04-14,9.2,WH-ME-04,True,1.74,3.21
P100107,BookNest Team Sports Item 00107,Sports,Team Sports,FreshMart,S1765,2024-06-01,80.36,WH-LA-02,True,0.64,3.33
P100108,UrbanWear Fragrance Item 00108,Beauty,Fragrance,PureGlow,S1446,2024-01-12,38.34,WH-AP-04,True,1.44,3.21
P100109,FitPeak Headphones Item 00109,Electronics,Headphones,Zenith,S1695,2024-08-29,17.02,WH-AP-01,True,4.38,4.94
P100110,HomePro Bags Item 00110,Fashion,Bags,EcoLine,S1546,2024-08-28,27.36,WH-NA-01,True,3.67,3.93
P100111,EcoLine Puzzles Item 00111,Toys,Puzzles,Zenith,S1027,2024-03-10,28.66,WH-NA-03,True,1.12,3.82
P100112,Toyverse Board Games Item 00112,Toys,Board Games,HomePro,S1051,2023-01-01,39.61,WH-ME-01,True,3.95,3.7
P100113,UrbanWear Dolls Item 00113,Toys,Dolls,Toyverse,S1334,2023-09-16,7.06,WH-ME-03,True,1.18,4.97
P100114,BookNest Dolls Item 00114,Toys,Dolls,PureGlow,S1854,2023-01-13,18.39,WH-NA-03,True,10.57,2.77
P100115,CloudNine Snacks Item 00115,Grocery,Snacks,FreshMart,S1053,2024-08-03,15.59,WH-ME-04,True,2.84,2.67
P100116,Zenith Skincare Item 00116,Beauty,Skincare,Astra,S1772,2023-10-23,26.23,WH-NA-01,True,3.68,4.56
P100117,Astra Makeup Item 00117,Beauty,Makeup,EcoLine,S1156,2023-06-14,41.36,WH-EU-04,True,3.1,4.69
P100118,Zenith Bags Item 00118,Fashion,Bags,NovaTech,S1577,2023-03-30,116.34,WH-EU-03,True,7.74,4.06
P100119,FitPeak Pantry Item 00119,Grocery,Pantry,HomePro,S1620,2023-01-23,18.2,WH-LA-04,True,0.35,3.83
P100120,PureGlow Storage Item 00120,Home & Kitchen,Storage,NovaTech,S1592,2025-03-31,51.82,WH-NA-01,True,1.15,4.07
P100121,Zenith Yoga Item 00121,Sports,Yoga,BookNest,S1406,2024-07-07,30.42,WH-EU-03,True,3.62,4.73
P100122,CloudNine Decor Item 00122,Home & Kitchen,Decor,Zenith,S1248,2024-02-24,62.52,WH-NA-04,False,4.47,2.86
P100123,NovaTech Yoga Item 00123,Sports,Yoga,EcoLine,S1801,2023-07-15,52.32,WH-NA-02,True,3.55,4.55
P100124,BookNest Children Item 00124,Books,Children,Zenith,S1379,2023-06-08,31.51,WH-NA-03,True,9.91,3.85
P100125,BookNest Fiction Item 00125,Books,Fiction,Toyverse,S1108,2023-06-06,12.18,WH-AP-02,True,4.87,4.23
P100126,CloudNine Comics Item 00126,Books,Comics,HomePro,S1445,2023-10-19,50.92,WH-EU-02,True,5.56,3.36
P100127,FreshMart Yoga Item 00127,Sports,Yoga,Toyverse,S1476,2023-05-14,32.09,WH-AP-02,True,3.99,3.97
P100128,UrbanWear Cycling Item 00128,Sports,Cycling,NovaTech,S1285,2023-07-29,23.53,WH-AP-03,True,2.72,4.81
P100129,EcoLine Fragrance Item 00129,Beauty,Fragrance,EcoLine,S1684,2025-04-19,42.28,WH-AP-01,True,1.51,2.69
P100130,Toyverse Fiction Item 00130,Books,Fiction,FitPeak,S1186,2024-04-06,65.13,WH-AP-04,True,2.33,4.96
P100131,PureGlow Haircare Item 00131,Beauty,Haircare,FitPeak,S1286,2024-09-13,44.07,WH-LA-04,True,1.69,3.07
P100132,Astra Yoga Item 00132,Sports,Yoga,FreshMart,S1195,2024-10-22,50.09,WH-NA-03,True,1.25,4.01
P100133,Toyverse Fragrance Item 00133,Beauty,Fragrance,FreshMart,S1776,2025-03-13,40.27,WH-EU-04,True,4.46,3.37
P100134,Toyverse Organic Item 00134,Grocery,Organic,Astra,S1095,2024-02-22,25.92,WH-ME-02,True,1.74,3.12
P100135,CloudNine Fragrance Item 00135,Beauty,Fragrance,UrbanWear,S1313,2023-01-25,26.1,WH-LA-03,True,4.4,3.95
P100136,FreshMart Comics Item 00136,Books,Comics,FreshMart,S1352,2024-10-23,21.8,WH-AP-02,True,2.65,3.65
P100137,CloudNine Business Item 00137,Books,Business,Toyverse,S1277,2023-05-28,8.06,WH-ME-02,True,11.53,4.37
P100138,NovaTech Outdoor Item 00138,Sports,Outdoor,CloudNine,S1197,2024-12-23,25.65,WH-ME-03,True,9.91,4.59
P100139,CloudNine Decor Item 00139,Home & Kitchen,Decor,HomePro,S1196,2023-01-19,15.96,WH-EU-03,True,2.04,3.6
P100140,CloudNine Pantry Item 00140,Grocery,Pantry,EcoLine,S1778,2023-04-24,75.79,WH-LA-01,True,1.87,2.69
P100141,UrbanWear Fitness Item 00141,Sports,Fitness,PureGlow,S1232,2024-10-04,29.33,WH-ME-04,True,4.49,2.56
P100142,Astra Shoes Item 00142,Fashion,Shoes,CloudNine,S1546,2024-04-20,9.07,WH-EU-01,True,2.03,3.13
P100143,Astra Fitness Item 00143,Sports,Fitness,FreshMart,S1299,2024-03-18,52.89,WH-EU-01,True,0.44,4.72
P100144,Astra Snacks Item 00144,Grocery,Snacks,EcoLine,S1291,2024-08-26,52.34,WH-AP-04,True,2.06,4.64
P100145,FitPeak Organic Item 00145,Grocery,Organic,HomePro,S1052,2024-05-05,18.52,WH-ME-01,False,0.45,4.08
P100146,NovaTech Snacks Item 00146,Grocery,Snacks,BookNest,S1503,2024-11-03,12.49,WH-NA-03,True,0.46,4.54
P100147,HomePro Laptops Item 00147,Electronics,Laptops,EcoLine,S1311,2024-06-06,92.16,WH-NA-03,True,6.01,4.06
P100148,FreshMart Skincare Item 00148,Beauty,Skincare,BookNest,S1620,2023-09-13,6.59,WH-LA-04,True,1.59,2.85
P100149,BookNest Tools Item 00149,Beauty,Tools,Toyverse,S1453,2024-12-27,23.85,WH-ME-02,True,5.3,2.56
P100150,EcoLine Dolls Item 00150,Toys,Dolls,EcoLine,S1061,2023-08-25,30.9,WH-LA-04,True,0.44,4.11
P100151,Zenith Storage Item 00151,Home & Kitchen,Storage,UrbanWear,S1270,2023-01-29,11.21,WH-NA-03,True,2.09,2.55
P100152,HomePro Women Clothing Item 00152,Fashion,Women Clothing,FreshMart,S1076,2023-01-17,7.23,WH-EU-02,True,3.73,4.3
P100153,Toyverse Headphones Item 00153,Electronics,Headphones,CloudNine,S1608,2024-12-31,12.5,WH-AP-04,True,1.12,4.16
P100154,UrbanWear Fitness Item 00154,Sports,Fitness,PureGlow,S1723,2024-09-25,6.17,WH-ME-02,True,0.75,4.9
P100155,Zenith Snacks Item 00155,Grocery,Snacks,UrbanWear,S1270,2024-11-06,20.72,WH-LA-03,True,5.64,3.92
P100156,NovaTech Fragrance Item 00156,Beauty,Fragrance,FreshMart,S1230,2025-01-27,116.86,WH-EU-01,True,1.96,3.17
P100157,NovaTech Outdoor Item 00157,Sports,Outdoor,Astra,S1169,2023-09-01,9.74,WH-ME-02,True,2.79,3.99
P100158,NovaTech Team Sports Item 00158,Sports,Team Sports,Toyverse,S1705,2024-05-15,58.09,WH-ME-02,True,1.37,3.53
P100159,FreshMart Dolls Item 00159,Toys,Dolls,FreshMart,S1505,2023-01-25,43.64,WH-AP-03,True,7.06,4.5
P100160,Astra Decor Item 00160,Home & Kitchen,Decor,BookNest,S1752,2024-06-07,10.85,WH-ME-03,True,4.77,4.79
P100161,NovaTech Fitness Item 00161,Sports,Fitness,UrbanWear,S1690,2023-11-14,9.12,WH-LA-03,False,2.09,4.1
P100162,EcoLine Cameras Item 00162,Electronics,Cameras,Astra,S1781,2024-12-10,44.86,WH-EU-02,False,4.77,4.12
P100163,Zenith Breakfast Item 00163,Grocery,Breakfast,Toyverse,S1284,2024-06-21,19.84,WH-EU-02,True,2.74,4.81
P100164,NovaTech Action Figures Item 00164,Toys,Action Figures,Toyverse,S1356,2023-09-07,30.07,WH-AP-02,True,0.75,4.33
P100165,Zenith Business Item 00165,Books,Business,NovaTech,S1878,2025-04-06,21.23,WH-EU-02,False,2.21,4.66
P100166,CloudNine Comics Item 00166,Books,Comics,Toyverse,S1295,2024-05-04,17.3,WH-AP-01,True,4.64,3.41
P100167,NovaTech Headphones Item 00167,Electronics,Headphones,FitPeak,S1258,2023-05-11,12.91,WH-ME-03,True,12.46,4.31
P100168,FreshMart Cleaning Item 00168,Home & Kitchen,Cleaning,Astra,S1673,2024-05-11,21.32,WH-LA-02,True,1.74,4.34
P100169,Astra Organic Item 00169,Grocery,Organic,UrbanWear,S1530,2023-04-18,3.37,WH-ME-04,True,4.2,4.68
P100170,Astra Organic Item 00170,Grocery,Organic,UrbanWear,S1273,2025-01-08,41.89,WH-LA-02,True,2.59,2.63
P100171,Toyverse Shoes Item 00171,Fashion,Shoes,CloudNine,S1496,2025-01-17,172.13,WH-NA-04,False,1.44,3.54
P100172,UrbanWear Wearables Item 00172,Electronics,Wearables,CloudNine,S1162,2024-11-19,80.21,WH-ME-02,True,1.62,3.22
P100173,BookNest Wearables Item 00173,Electronics,Wearables,NovaTech,S1230,2024-10-26,11.55,WH-NA-04,True,1.29,2.61
P100174,Zenith Snacks Item 00174,Grocery,Snacks,HomePro,S1510,2023-05-20,20.41,WH-ME-02,False,1.15,3.15
P100175,Toyverse Team Sports Item 00175,Sports,Team Sports,Toyverse,S1249,2023-11-15,30.13,WH-AP-03,False,2.6,4.03
P100176,UrbanWear Bags Item 00176,Fashion,Bags,EcoLine,S1520,2024-05-07,58.87,WH-EU-01,True,7.14,3.46
P100177,BookNest Furniture Item 00177,Home & Kitchen,Furniture,FitPeak,S1806,2023-02-23,34.86,WH-LA-01,False,3.62,4.82
P100178,PureGlow Fitness Item 00178,Sports,Fitness,CloudNine,S1305,2023-03-03,71.19,WH-LA-03,False,1.55,3.66
P100179,Toyverse Beverages Item 00179,Grocery,Beverages,FreshMart,S1495,2023-03-30,68.97,WH-ME-04,True,4.07,2.73
P100180,FreshMart Children Item 00180,Books,Children,BookNest,S1466,2024-06-24,18.69,WH-ME-03,True,3.81,4.66
P100181,EcoLine Makeup Item 00181,Beauty,Makeup,BookNest,S1239,2023-09-18,36.88,WH-AP-02,True,5.24,3.13
P100182,CloudNine Cameras Item 00182,Electronics,Cameras,Toyverse,S1722,2023-02-06,25.39,WH-AP-01,True,1.47,2.69
P100183,Toyverse Board Games Item 00183,Toys,Board Games,Astra,S1129,2023-08-12,24.23,WH-LA-01,True,5.58,3.93
P100184,Toyverse Fiction Item 00184,Books,Fiction,NovaTech,S1538,2025-01-18,36.91,WH-AP-03,True,8.79,4.67
P100185,BookNest Laptops Item 00185,Electronics,Laptops,Zenith,S1158,2025-03-26,15.2,WH-NA-03,True,1.69,4.24
P100186,FitPeak Pantry Item 00186,Grocery,Pantry,EcoLine,S1709,2024-02-26,52.27,WH-AP-01,True,6.79,4.9
P100187,Zenith Furniture Item 00187,Home & Kitchen,Furniture,FreshMart,S1389,2024-03-01,53.53,WH-ME-03,True,2.32,4.36
P100188,Astra Breakfast Item 00188,Grocery,Breakfast,EcoLine,S1070,2024-12-18,32.35,WH-EU-04,True,1.81,2.98
P100189,CloudNine Outdoor Item 00189,Sports,Outdoor,NovaTech,S1444,2023-08-21,20.36,WH-NA-04,True,1.52,4.09
P100190,HomePro Cleaning Item 00190,Home & Kitchen,Cleaning,CloudNine,S1306,2023-11-22,75.29,WH-NA-01,True,2.94,3.58
P100191,Astra Cameras Item 00191,Electronics,Cameras,PureGlow,S1367,2023-12-01,18.85,WH-ME-04,True,5.32,4.84
P100192,UrbanWear Board Games Item 00192,Toys,Board Games,FreshMart,S1421,2024-12-31,17.55,WH-LA-03,True,2.9,4.27
P100193,HomePro Women Clothing Item 00193,Fashion,Women Clothing,NovaTech,S1624,2023-04-30,14.56,WH-AP-01,True,2.42,4.93
P100194,EcoLine Fragrance Item 00194,Beauty,Fragrance,HomePro,S1237,2023-01-07,32.31,WH-AP-03,True,1.61,3.43
P100195,PureGlow Team Sports Item 00195,Sports,Team Sports,Zenith,S1009,2024-06-21,16.03,WH-AP-03,True,4.2,4.86
P100196,HomePro Yoga Item 00196,Sports,Yoga,NovaTech,S1452,2023-03-16,64.97,WH-ME-04,True,2.71,4.2
P100197,CloudNine Team Sports Item 00197,Sports,Team Sports,PureGlow,S1467,2025-04-28,9.39,WH-ME-02,False,4.6,4.33
P100198,Toyverse Fragrance Item 00198,Beauty,Fragrance,NovaTech,S1242,2024-07-23,6.14,WH-AP-01,True,1.56,3.03
P100199,PureGlow Children Item 00199,Books,Children,CloudNine,S1302,2024-06-07,25.94,WH-NA-01,True,2.08,3.86
P100200,Astra Dolls Item 00200,Toys,Dolls,EcoLine,S1885,2024-08-27,17.92,WH-NA-02,True,1.68,4.61
P100201,UrbanWear Pantry Item 00201,Grocery,Pantry,EcoLine,S1821,2024-11-23,39.73,WH-ME-04,True,6.06,2.96
P100202,EcoLine Makeup Item 00202,Beauty,Makeup,PureGlow,S1694,2025-01-09,83.81,WH-EU-01,True,6.68,2.9
P100203,PureGlow Cookware Item 00203,Home & Kitchen,Cookware,Toyverse,S1034,2024-01-21,9.07,WH-LA-03,True,5.47,3.64
P100204,NovaTech Education Item 00204,Books,Education,PureGlow,S1334,2024-08-29,17.47,WH-AP-02,True,0.13,4.39
P100205,HomePro Women Clothing Item 00205,Fashion,Women Clothing,FreshMart,S1897,2024-07-06,49.64,WH-ME-04,True,4.52,2.86
