event_id,event_time,customer_id,session_id,event_type,product_id,device_type,traffic_channel,region,quantity,user_agent_family,ingestion_time
E000000019,2026-03-10 15:18:26,C109490,SESS56671359,add_to_cart,P106249,desktop,affiliate,North America,1,Safari,2026-03-10 15:26:26
E000000020,2025-12-03 13:13:49,C113034,SESS65528351,product_view,P111063,tablet,organic,Asia Pacific,1,Chrome,2025-12-03 13:13:49
E000000021,2025-11-28 13:40:16,C116526,SESS21252714,page_view,P110334,desktop,organic,Asia Pacific,1,Chrome,2025-11-28 13:41:16
E000000022,2026-02-26 16:38:57,C119389,SESS21198925,purchase_click,P100609,desktop,email,Europe,1,Chrome,2026-02-26 16:43:57
E000000023,2025-12-15 01:54:59,C122929,SESS77327158,product_view,P107450,mobile,affiliate,North America,3,Chrome,2025-12-15 01:58:59
E000000024,2026-01-22 09:22:36,C118027,SESS58308935,product_view,P106900,mobile,organic,Asia Pacific,3,Safari,2026-01-22 09:24:36
E000000025,2026-03-12 16:02:03,C123374,SESS28228165,search,P100037,mobile,social,North America,1,Safari,2026-03-12 16:04:03
E000000026,2025-12-10 03:59:59,C124025,SESS14723895,page_view,P109603,mobile,direct,Latin America,1,Chrome,2025-12-10 04:04:59
E000000027,2025-11-17 01:10:27,C122455,SESS49054747,page_view,P103360,desktop,paid_search,North America,1,Chrome,2025-11-17 01:12:27
E000000028,2026-02-26 11:44:08,C116549,SESS35553188,search,P109178,desktop,organic,Middle East,1,Chrome,2026-02-26 11:56:08
E000000029,2026-02-08 23:15:30,C111839,SESS90467229,add_to_cart,P110057,desktop,direct,North America,1,Firefox,2026-02-08 23:15:30
E000000030,2025-12-10 18:38:26,C105809,SESS75789806,product_view,P106534,mobile,paid_search,Europe,2,Chrome,2025-12-10 18:38:26
E000000031,2025-10-10 19:23:06,C112257,SESS83226518,page_view,P110126,desktop,organic,Middle East,3,Safari,2025-10-10 19:24:06
E000000032,2026-03-29 01:35:46,C114494,SESS57934059,page_view,P110301,mobile,organic,Europe,1,Safari,2026-03-29 01:40:46
E000000033,2026-03-28 01:29:18,C124329,SESS67223512,search,P100575,mobile,social,Europe,1,Chrome,2026-03-28 01:32:18
E000000034,2026-01-22 03:57:48,C101557,SESS12352005,page_view,P103917,mobile,direct,Latin America,4,Chrome,2026-01-22 04:01:48
E000000035,2025-11-05 22:04:19,C111706,SESS67427955,product_view,P106921,mobile,organic,Europe,2,Amazon_App,2025-11-05 22:08:19
E000000036,2025-11-12 20:47:01,C124194,SESS16928068,search,P107681,mobile,organic,Asia Pacific,2,Chrome,2025-11-12 20:47:01
E000000037,2026-03-25 00:51:16,C113463,SESS26975045,checkout_start,P104215,mobile,direct,Latin America,2,Safari,2026-03-25 01:00:16
E000000038,2025-10-31 20:20:54,C110075,SESS12721647,checkout_start,P108354,mobile,direct,Europe,1,Edge,2025-10-31 20:23:54
E000000039,2026-02-15 02:08:09,C119209,SESS37521076,search,P109285,mobile,email,Latin America,5,Safari,2026-02-15 02:13:09
E000000040,2025-10-04 23:50:23,C123083,SESS86896137,product_view,P103038,tablet,paid_search,Asia Pacific,1,Chrome,2025-10-04 23:57:23
E000000041,2025-11-07 21:17:26,C114491,SESS62913545,search,P109373,mobile,organic,Europe,2,Safari,2025-11-07 21:21:26
E000000042,2025-11-05 17:50:44,C112003,SESS94065490,page_view,P100440,tablet,social,Asia Pacific,1,Chrome,2025-11-05 17:51:44
E000000043,2025-12-12 22:24:55,C109850,SESS13338164,add_to_cart,P101077,tablet,direct,Asia Pacific,3,Safari,2025-12-12 22:28:55
E000000044,2026-02-17 02:29:00,C101490,SESS30621180,checkout_start,P105843,mobile,organic,Asia Pacific,1,Chrome,2026-02-17 02:30:00
E000000045,2026-03-26 04:26:44,C112207,SESS64390781,product_view,P109033,desktop,paid_search,Asia Pacific,1,Safari,2026-03-26 04:26:44
E000000046,2025-11-24 05:19:55,C110295,SESS70899327,add_to_cart,P102333,mobile,email,Latin America,1,Safari,2025-11-24 05:19:55
E000000047,2026-03-13 06:23:05,C121261,SESS14251959,product_view,P105956,mobile,email,Latin America,4,Edge,2026-03-13 06:25:05
E000000048,2025-11-15 18:48:39,C120499,SESS44573068,page_view,P109206,desktop,affiliate,Latin America,1,Edge,2025-11-15 18:50:39
E000000049,2026-03-16 01:14:34,C113591,SESS72134497,purchase_click,P106436,mobile,paid_search,Middle East,2,Firefox,2026-03-16 01:20:34
E000000050,2026-01-10 04:44:33,C124627,SESS87390387,product_view,P103270,desktop,social,Middle East,1,Chrome,2026-01-10 04:48:33
E000000051,2026-03-21 05:10:08,C122025,SESS71249290,add_to_cart,P103902,mobile,paid_search,North America,4,Amazon_App,2026-03-21 05:10:08
E000000052,2025-12-19 15:17:32,C123320,SESS94279959,purchase_click,P101838,desktop,social,Asia Pacific,1,Chrome,2025-12-19 15:17:32
E000000053,2026-01-29 15:36:34,C108539,SESS11970864,search,P104575,desktop,direct,Latin America,1,Amazon_App,2026-01-29 15:55:34
E000000054,2025-12-17 13:23:53,C110589,SESS27426579,add_to_cart,P108960,mobile,social,Europe,4,Amazon_App,2025-12-17 13:26:53
E000000055,2025-11-24 11:03:36,C121827,SESS45165234,product_view,P111191,desktop,organic,Europe,1,Safari,2025-11-24 11:04:36
E000000056,2025-11-20 02:46:44,C115415,SESS40620135,page_view,P111580,tablet,affiliate,Latin America,1,Amazon_App,2025-11-20 02:51:44
E000000057,2025-10-18 05:54:32,C115006,SESS85128696,search,P108367,mobile,direct,Middle East,5,Chrome,2025-10-18 05:59:32
E000000058,2026-03-21 04:35:00,C112565,SESS36787114,purchase_click,P107705,mobile,paid_search,Middle East,1,Amazon_App,2026-03-21 04:46:00
E000000059,2025-12-12 18:21:59,C101423,SESS93130876,product_view,P100487,desktop,social,Middle East,4,Chrome,2025-12-12 18:39:59
E000000060,2025-12-05 08:54:19,C106175,SESS93007410,checkout_start,P110118,desktop,social,Europe,3,Firefox,2025-12-05 08:57:19
E000000061,2026-03-23 19:23:18,C113105,SESS25077120,remove_from_cart,P102600,mobile,direct,Asia Pacific,1,Safari,2026-03-23 19:23:18
E000000062,2026-01-03 13:29:42,C109802,SESS12206836,search,P110501,mobile,email,Latin America,1,Chrome,2026-01-03 13:29:42
E000000063,2026-01-12 14:26:03,C101450,SESS11299280,page_view,P105860,mobile,email,Europe,2,Chrome,2026-01-12 14:30:03
E000000064,2025-10-23 07:13:37,C105018,SESS26306825,product_view,P108025,mobile,social,North America,2,Chrome,2025-10-23 07:14:37
E000000065,2025-11-01 11:12:27,C122196,SESS94177008,page_view,P100128,desktop,organic,Middle East,2,Chrome,2025-11-01 11:16:27
E000000066,2026-02-24 20:45:03,C114486,SESS35939417,search,P102341,desktop,organic,Asia Pacific,1,Chrome,2026-02-24 20:46:03
E000000067,2026-02-28 07:25:46,C100907,SESS69031527,search,P111012,mobile,email,Europe,1,Firefox,2026-02-28 07:31:46
E000000068,2025-12-26 19:16:18,C115184,SESS17892528,add_to_cart,P110001,mobile,paid_search,Asia Pacific,1,Edge,2025-12-26 19:18:18
E000000069,2025-11-08 01:26:48,C108622,SESS86655270,search,P111321,mobile,direct,Asia Pacific,1,Amazon_App,2025-11-08 01:38:48
E000000070,2026-01-07 14:38:03,C110859,SESS93953876,product_view,P101137,mobile,organic,Middle East,1,Safari,2026-01-07 14:38:03
E000000071,2026-02-03 17:05:37,C119591,SESS76215727,search,P106212,desktop,email,North America,3,Safari,2026-02-03 17:11:37
E000000072,2026-01-26 03:14:59,C108940,SESS10051712,remove_from_cart,P105615,mobile,direct,Europe,5,Chrome,2026-01-26 03:15:59
E000000073,2025-10-08 02:07:24,C122268,SESS38046047,add_to_cart,P101870,desktop,social,Middle East,1,Chrome,2025-10-08 02:09:24
E000000074,2026-02-16 03:18:47,C115770,SESS51231701,add_to_cart,P105319,desktop,paid_search,North America,1,Safari,2026-02-16 03:20:47
E000000075,2026-03-23 18:48:24,C115670,SESS11698185,page_view,P106435,mobile,affiliate,Latin America,2,Chrome,2026-03-23 18:49:24
E000000076,2026-02-16 13:14:19,C115142,SESS48154878,page_view,P102239,mobile,affiliate,Middle East,2,Firefox,2026-02-16 13:18:19
E000000077,2025-11-09 21:24:13,C102128,SESS88196957,page_view,P105489,mobile,email,Europe,1,Safari,2025-11-09 21:24:13
E000000078,2025-12-25 08:47:28,C102600,SESS52689790,product_view,P103214,desktop,social,Latin America,1,Chrome,2025-12-25 08:50:28
E000000079,2025-10-02 20:58:46,C111418,SESS80213810,product_view,P100104,mobile,email,Latin America,1,Safari,2025-10-02 21:07:46
E000000080,2026-02-12 04:17:15,C120802,SESS69972941,search,P108426,desktop,email,Asia Pacific,1,Chrome,2026-02-12 04:17:15
E000000081,2026-03-22 11:44:57,C119294,SESS74796329,search,P109874,tablet,organic,Middle East,1,Edge,2026-03-22 11:44:57
E000000082,2026-02-27 06:58:28,C104613,SESS83821270,page_view,P102521,mobile,direct,North America,1,Edge,2026-02-27 06:58:28
E000000083,2025-10-26 12:29:23,C108555,SESS93216453,page_view,P107608,desktop,paid_search,Europe,1,Chrome,2025-10-26 12:50:23
E000000084,2026-02-22 14:58:49,C120427,SESS58910813,product_view,P105320,desktop,organic,Europe,2,Chrome,2026-02-22 14:58:49
E000000085,2026-01-06 15:22:34,C106573,SESS80958705,search,P100311,desktop,organic,Europe,1,Chrome,2026-01-06 15:27:34
E000000086,2025-10-21 14:00:01,C117404,SESS27038695,checkout_start,P102714,desktop,organic,Latin America,1,Chrome,2025-10-21 14:08:01
E000000087,2026-03-10 21:01:55,C106491,SESS55168181,purchase_click,P108122,desktop,organic,Middle East,1,Edge,2026-03-10 21:01:55
E000000088,2026-03-26 14:54:40,C119553,SESS11239924,search,P100947,mobile,direct,Latin America,1,Amazon_App,2026-03-26 15:10:40
E000000089,2025-12-25 14:46:34,C116490,SESS29178365,search,P103683,desktop,affiliate,North America,1,Chrome,2025-12-25 14:46:34
E000000090,2025-10-07 18:24:56,C120502,SESS65951811,page_view,P109681,desktop,direct,Asia Pacific,1,Safari,2025-10-07 18:25:56
E000000091,2026-03-02 22:36:26,C111154,SESS53894348,search,P109075,tablet,direct,Latin America,1,Chrome,2026-03-02 22:51:26
E000000092,2026-03-25 10:34:50,C115582,SESS50376700,product_view,P100705,mobile,email,Europe,1,Safari,2026-03-25 10:34:50
E000000093,2026-03-31 01:24:34,C117319,SESS76411785,product_view,P104846,desktop,organic,Middle East,1,Safari,2026-03-31 01:26:34
E000000094,2025-11-02 10:51:47,C112148,SESS76163755,product_view,P107467,tablet,social,North America,1,Firefox,2025-11-02 10:57:47
E000000095,2025-11-02 02:28:22,C116540,SESS63202011,product_view,P110928,mobile,paid_search,Latin America,5,Chrome,2025-11-02 02:28:22
E000000096,2026-02-16 02:08:17,C102079,SESS49655808,remove_from_cart,P102103,mobile,direct,Europe,1,Amazon_App,2026-02-16 02:21:17
E000000097,2025-11-19 07:02:42,C113892,SESS65525560,page_view,P102538,mobile,social,North America,1,Edge,2025-11-19 07:02:42
E000000098,2026-02-21 23:57:33,C108898,SESS80501430,product_view,P100767,mobile,direct,Europe,1,Chrome,2026-02-22 00:03:33
E000000099,2025-12-30 22:36:15,C100160,SESS43977329,product_view,P103335,tablet,direct,Europe,5,Amazon_App,2025-12-30 22:44:15
E000000100,2025-12-26 15:58:35,C119920,SESS24541436,page_view,P104678,desktop,email,Middle East,2,Edge,2025-12-26 16:01:35
E000000101,2025-12-11 02:40:20,C116641,SESS38953580,add_to_cart,P109133,mobile,email,Latin America,3,Chrome,2025-12-11 02:40:20
E000000102,2026-02-01 18:31:12,C124734,SESS59138828,search,P108862,mobile,affiliate,Europe,1,Firefox,2026-02-01 18:35:12
E000000103,2026-01-27 19:25:18,C116304,SESS87966383,remove_from_cart,P108992,desktop,paid_search,Europe,1,Firefox,2026-01-27 19:26:18
E000000104,2025-12-01 17:39:45,C122152,SESS37674099,page_view,P105796,mobile,paid_search,Middle East,1,Chrome,2025-12-01 17:43:45
E000000105,2025-11-09 14:21:15,C121235,SESS93213283,search,P108681,mobile,paid_search,Asia Pacific,2,Amazon_App,2025-11-09 14:22:15
E000000106,2025-12-21 22:37:00,C117851,SESS96455885,search,P111066,mobile,organic,Asia Pacific,1,Amazon_App,2025-12-21 22:41:00
E000000107,2025-12-11 20:44:30,C123412,SESS50285035,checkout_start,P109526,mobile,direct,Middle East,1,Chrome,2025-12-11 20:47:30
E000000108,2026-02-05 15:09:42,C119528,SESS82811904,page_view,P111211,mobile,organic,Latin America,2,Safari,2026-02-05 15:11:42
E000000109,2025-10-05 20:44:46,C111577,SESS91217297,purchase_click,P106547,mobile,organic,Latin America,1,Edge,2025-10-05 20:45:46
E000000110,2025-11-24 06:57:19,C117690,SESS93021241,product_view,P100755,desktop,social,Asia Pacific,1,Chrome,2025-11-24 06:57:19
E000000111,2025-11-09 03:06:14,C124966,SESS29370675,page_view,P111808,tablet,paid_search,Asia Pacific,3,Safari,2025-11-09 03:21:14
E000000112,2025-11-07 13:59:27,C122761,SESS62690312,product_view,P110608,desktop,organic,Asia Pacific,1,Amazon_App,2025-11-07 13:59:27
E000000113,2025-11-06 22:18:13,C111991,SESS63590368,page_view,P105637,tablet,organic,North America,1,Safari,2025-11-06 22:19:13
E000000114,2026-02-23 10:00:33,C108974,SESS68947571,checkout_start,P103292,desktop,organic,Middle East,5,Chrome,2026-02-23 10:08:33
E000000115,2026-01-07 15:31:13,C102696,SESS41037010,page_view,P100510,mobile,direct,Asia Pacific,2,Safari,2026-01-07 15:31:13
E000000116,2026-03-01 03:08:24,C107284,SESS61962770,checkout_start,P105705,mobile,organic,North America,1,Chrome,2026-03-01 03:10:24
E000000117,2026-02-14 08:31:07,C110447,SESS21005721,purchase_click,P102961,desktop,organic,North America,2,Chrome,2026-02-14 08:42:07
E000000118,2026-01-09 10:49:44,C123858,SESS36579263,page_view,P106916,desktop,direct,Middle East,2,Amazon_App,2026-01-09 10:50:44
E000000119,2025-10-10 15:10:19,C119820,SESS40856611,page_view,P107117,desktop,direct,Middle East,1,Safari,2025-10-10 15:27:19
E000000120,2026-03-05 03:00:16,C100969,SESS29156037,page_view,P107963,desktop,social,Middle East,2,Safari,2026-03-05 03:06:16
E000000121,2026-02-12 13:17:43,C102114,SESS41673710,remove_from_cart,P104063,mobile,social,Latin America,1,Safari,2026-02-12 13:18:43
E000000122,2026-02-18 01:55:13,C108243,SESS94717844,checkout_start,P111512,mobile,affiliate,Asia Pacific,1,Chrome,2026-02-18 01:59:13
E000000123,2025-10-01 16:57:10,C111782,SESS37690855,search,P101792,desktop,organic,Asia Pacific,1,Amazon_App,2025-10-01 17:02:10
E000000124,2025-11-01 17:32:41,C101773,SESS42710635,search,P108651,desktop,organic,Middle East,1,Chrome,2025-11-01 17:43:41
E000000125,2026-03-02 08:19:46,C111249,SESS49020692,page_view,P100315,mobile,email,Latin America,1,Safari,2026-03-02 08:19:46
E000000126,2026-02-26 17:04:19,C112908,SESS19193362,page_view,P104218,mobile,paid_search,North America,2,Firefox,2026-02-26 17:10:19
E000000127,2026-03-21 09:01:56,C102170,SESS41828777,purchase_click,P111354,desktop,organic,Europe,3,Edge,2026-03-21 09:09:56
E000000128,2026-03-15 06:51:54,C107260,SESS64661935,purchase_click,P109345,mobile,organic,North America,4,Safari,2026-03-15 06:53:54
E000000129,2025-10-30 17:23:38,C123660,SESS66537647,page_view,P104930,mobile,direct,Europe,2,Edge,2025-10-30 17:23:38
E000000130,2025-11-01 01:10:03,C100395,SESS56604569,search,P108118,mobile,organic,Latin America,1,Chrome,2025-11-01 01:12:03
E000000131,2026-03-19 07:50:24,C109960,SESS59997450,product_view,P103284,mobile,direct,North America,3,Safari,2026-03-19 07:52:24
E000000132,2026-02-06 15:46:54,C110845,SESS28177049,product_view,P110744,mobile,paid_search,North America,5,Edge,2026-02-06 15:46:54
E000000133,2026-02-12 09:25:42,C105133,SESS64287479,checkout_start,P111020,mobile,direct,Europe,3,Chrome,2026-02-12 09:32:42
E000000134,2025-10-15 05:57:21,C108640,SESS70573584,product_view,P100143,mobile,organic,Middle East,2,Firefox,2025-10-15 06:00:21
E000000135,2026-02-22 12:52:49,C112493,SESS49178973,checkout_start,P101292,desktop,paid_search,North America,1,Edge,2026-02-22 12:53:49
E000000136,2025-11-13 11:51:36,C122706,SESS65587498,product_view,P111656,mobile,email,Europe,1,Chrome,2025-11-13 11:51:36
E000000137,2026-03-29 00:56:06,C101604,SESS13872923,page_view,P111901,mobile,organic,Asia Pacific,1,Firefox,2026-03-29 01:06:06
E000000138,2025-10-28 06:18:43,C115749,SESS77863862,product_view,P103117,desktop,email,Middle East,3,Edge,2025-10-28 06:19:43
E000000139,2026-01-24 11:16:40,C123069,SESS77428405,remove_from_cart,P105828,mobile,affiliate,Europe,1,Chrome,2026-01-24 11:17:40
E000000140,2026-01-06 23:08:50,C115097,SESS56996770,page_view,P103163,mobile,organic,Middle East,1,Chrome,2026-01-06 23:15:50
E000000141,2026-02-27 09:53:46,C120449,SESS26635158,search,P102730,mobile,organic,Asia Pacific,2,Edge,2026-02-27 09:56:46
E000000142,2026-02-02 17:48:41,C123007,SESS45594702,product_view,P107514,mobile,social,North America,1,Amazon_App,2026-02-02 17:50:41
E000000143,2026-03-01 04:28:26,C114080,SESS61154273,product_view,P100653,mobile,paid_search,Middle East,1,Chrome,2026-03-01 04:29:26
E000000144,2026-02-13 05:27:49,C119408,SESS35822232,page_view,P111777,desktop,affiliate,Middle East,4,Chrome,2026-02-13 05:29:49
E000000145,2025-10-09 16:02:17,C104710,SESS58305162,product_view,P107903,desktop,paid_search,North America,1,Safari,2025-10-09 16:04:17
E000000146,2026-01-27 04:50:49,C106400,SESS66685711,checkout_start,P111194,desktop,organic,Asia Pacific,2,Chrome,2026-01-27 05:00:49
E000000147,2026-03-08 15:54:37,C112452,SESS99380824,remove_from_cart,P101904,mobile,organic,North America,1,Edge,2026-03-08 15:54:37
E000000148,2026-02-24 19:27:33,C118667,SESS64039366,product_view,P108198,mobile,organic,Latin America,1,Chrome,2026-02-24 19:39:33
E000000149,2026-01-26 17:53:57,C120576,SESS22128383,product_view,P108538,mobile,social,Latin America,1,Chrome,2026-01-26 17:54:57
E000000150,2025-11-22 21:32:20,C116556,SESS89244906,checkout_start,P100657,mobile,affiliate,North America,4,Safari,2025-11-22 21:39:20
E000000151,2025-12-18 08:02:40,C121071,SESS66124711,checkout_start,P106645,desktop,organic,North America,1,Safari,2025-12-18 08:07:40
E000000152,2026-02-20 22:55:01,C114943,SESS44629677,add_to_cart,P103122,tablet,affiliate,North America,1,Edge,2026-02-20 22:55:01
E000000153,2026-02-24 20:21:22,C121573,SESS50605212,product_view,P107249,mobile,social,North America,1,Firefox,2026-02-24 20:23:22
E000000154,2025-10-21 14:54:59,C101780,SESS60931640,product_view,P110045,mobile,direct,Latin America,2,Safari,2025-10-21 14:55:59
E000000155,2025-12-04 02:00:37,C102516,SESS31415865,purchase_click,P103988,mobile,paid_search,North America,1,Firefox,2025-12-04 02:06:37
E000000156,2026-02-25 06:47:08,C113850,SESS22289758,product_view,P104068,desktop,social,Asia Pacific,3,Safari,2026-02-25 06:47:08
E000000157,2026-02-19 06:17:06,C113599,SESS96196574,product_view,P107682,desktop,social,Middle East,2,Chrome,2026-02-19 06:21:06
E000000158,2026-02-24 17:24:25,C123997,SESS35502917,page_view,P100929,mobile,email,Middle East,1,Chrome,2026-02-24 17:26:25
E000000159,2025-10-11 01:37:23,C122738,SESS63383466,page_view,P103285,mobile,social,Asia Pacific,1,Edge,2025-10-11 01:44:23
E000000160,2025-10-06 06:03:26,C121693,SESS37706880,purchase_click,P102898,desktop,email,North America,1,Safari,2025-10-06 06:08:26
E000000161,2025-11-02 03:19:08,C113880,SESS49275586,search,P105021,mobile,email,Europe,1,Chrome,2025-11-02 03:22:08
E000000162,2025-11-02 00:53:48,C112843,SESS14046905,product_view,P111358,mobile,paid_search,Middle East,1,Chrome,2025-11-02 01:02:48
E000000163,2025-10-04 04:46:02,C110669,SESS16530039,product_view,P109863,mobile,social,Asia Pacific,4,Amazon_App,2025-10-04 04:46:02
E000000164,2026-01-07 16:06:33,C118247,SESS70041358,page_view,P100264,mobile,paid_search,Asia Pacific,1,Firefox,2026-01-07 16:13:33
E000000165,2025-10-18 06:33:47,C110535,SESS74029687,search,P108067,mobile,organic,Europe,1,Chrome,2025-10-18 06:42:47
E000000166,2026-02-02 19:30:39,C120797,SESS54004969,page_view,P110817,mobile,social,Europe,1,Safari,2026-02-02 19:30:39
E000000167,2025-11-06 15:06:32,C109204,SESS27685169,search,P105956,desktop,social,Middle East,4,Firefox,2025-11-06 15:10:32
E000000168,2025-10-15 18:48:53,C120341,SESS65318672,product_view,P103865,mobile,organic,North America,1,Edge,2025-10-15 18:49:53
E000000169,2025-10-18 05:27:04,C120815,SESS25419546,checkout_start,P107526,desktop,paid_search,Asia Pacific,3,Safari,2025-10-18 05:27:04
E000000170,2026-02-10 13:02:54,C102575,SESS19566889,remove_from_cart,P102466,desktop,social,Latin America,1,Chrome,2026-02-10 13:05:54
E000000171,2026-01-16 03:13:36,C101572,SESS72168969,search,P102751,mobile,organic,Asia Pacific,5,Chrome,2026-01-16 03:15:36
E000000172,2026-01-19 11:37:38,C109905,SESS16228155,add_to_cart,P107623,mobile,paid_search,North America,2,Amazon_App,2026-01-19 11:41:38
E000000173,2026-02-04 18:11:45,C105690,SESS63917272,product_view,P110966,desktop,paid_search,Middle East,4,Chrome,2026-02-04 18:12:45
E000000174,2025-11-30 20:31:13,C110210,SESS19334316,search,P108181,mobile,email,Asia Pacific,1,Amazon_App,2025-11-30 20:31:13
E000000175,2025-10-15 03:50:52,C109622,SESS73714300,add_to_cart,P108152,mobile,direct,Middle East,1,Amazon_App,2025-10-15 03:53:52
E000000176,2026-02-18 00:47:23,C124487,SESS75629784,search,P102720,mobile,paid_search,North America,2,Amazon_App,2026-02-18 00:47:23
E000000177,2026-03-08 00:01:29,C103641,SESS15023847,purchase_click,P106930,mobile,organic,North America,1,Edge,2026-03-08 00:01:29
E000000178,2026-01-13 01:27:17,C119562,SESS61155948,search,P106587,tablet,direct,Asia Pacific,1,Firefox,2026-01-13 01:29:17
E000000179,2026-01-16 23:33:28,C107540,SESS93209074,checkout_start,P102558,mobile,direct,Europe,2,Chrome,2026-01-16 23:40:28
E000000180,2025-10-16 22:34:19,C109838,SESS51242388,purchase_click,P111115,desktop,organic,Latin America,1,Safari,2025-10-16 22:50:19
E000000181,2025-11-23 22:36:49,C114388,SESS16468402,checkout_start,P109268,mobile,paid_search,Middle East,1,Edge,2025-11-23 22:38:49
E000000182,2026-01-15 02:04:14,C120482,SESS72645716,remove_from_cart,P110470,mobile,organic,North America,1,Chrome,2026-01-15 02:05:14
E000000183,2025-10-14 09:17:20,C120131,SESS75134658,search,P101866,desktop,organic,North America,2,Safari,2025-10-14 09:35:20
E000000184,2025-11-28 11:15:07,C112590,SESS72682558,add_to_cart,P107550,mobile,affiliate,Latin America,1,Firefox,2025-11-28 11:16:07
E000000185,2025-11-03 18:09:58,C123201,SESS93482834,product_view,P104478,mobile,organic,Europe,1,Edge,2025-11-03 18:14:58
E000000186,2025-12-14 15:45:19,C111294,SESS25771726,product_view,P108148,desktop,organic,North America,1,Safari,2025-12-14 15:48:19
E000000187,2026-02-11 02:17:03,C119717,SESS83780056,add_to_cart,P108004,desktop,organic,Latin America,1,Firefox,2026-02-11 02:19:03
E000000188,2026-02-18 04:25:42,C103060,SESS85042176,search,P100794,mobile,affiliate,Middle East,1,Chrome,2026-02-18 04:35:42
E000000189,2025-11-25 16:14:56,C100167,SESS62535565,page_view,P106238,desktop,paid_search,Asia Pacific,1,Chrome,2025-11-25 16:16:56
E000000190,2026-03-22 12:18:50,C120571,SESS87029735,search,P102509,desktop,email,North America,1,Safari,2026-03-22 12:24:50
E000000191,2026-02-03 12:24:48,C124820,SESS38975888,checkout_start,P100899,desktop,organic,Middle East,1,Amazon_App,2026-02-03 12:24:48
E000000192,2025-12-13 20:14:02,C119154,SESS37459481,page_view,P110917,mobile,affiliate,Asia Pacific,1,Chrome,2025-12-13 20:16:02
E000000193,2025-10-26 21:36:15,C123664,SESS69458983,checkout_start,P106726,desktop,affiliate,Europe,1,Firefox,2025-10-26 21:39:15
E000000194,2026-03-13 14:35:28,C113501,SESS39053514,add_to_cart,P104712,mobile,social,Europe,1,Amazon_App,2026-03-13 14:38:28
E000000195,2026-01-13 11:24:34,C110633,SESS54970803,product_view,P109032,desktop,organic,Europe,1,Safari,2026-01-13 11:25:34
E000000196,2025-10-29 13:43:14,C119965,SESS26561291,add_to_cart,P103760,desktop,affiliate,Asia Pacific,1,Chrome,2025-10-29 13:43:14
E000000197,2025-10-30 19:26:01,C112286,SESS31783605,product_view,P104406,desktop,email,Europe,1,Chrome,2025-10-30 19:28:01
E000000198,2026-01-10 11:11:24,C113425,SESS99033322,search,P110011,mobile,direct,Middle East,1,Firefox,2026-01-10 11:15:24
E000000199,2025-10-21 19:06:30,C110743,SESS77429846,purchase_click,P100892,mobile,email,Latin America,5,Chrome,2025-10-21 19:17:30
