review_id,review_time,customer_id,product_id,rating,review_title,verified_purchase,helpful_votes,sentiment_score,source_file_date,batch_loaded_at
R00000048,2026-02-09 14:19:46,C110785,P102671,3,Excellent,True,2,0.39,2026-02-09,2026-02-13 14:19:46
R00000049,2025-10-01 19:34:55,C110996,P111257,5,Needs improvement,True,1,0.432,2025-10-01,2025-10-06 19:34:55
R00000050,2026-02-19 02:46:00,C106891,P101415,5,Excellent,True,2,0.29,2026-02-19,2026-02-25 02:46:00
R00000051,2025-11-19 16:28:08,C114684,P100721,5,Fast shipping,True,5,-0.251,2025-11-19,2025-11-24 16:28:08
R00000052,2025-10-08 18:01:04,C100531,P100533,5,Great value,False,1,0.257,2025-10-08,2025-10-13 18:01:04
R00000053,2025-11-12 03:11:05,C123197,P104076,4,Average item,False,2,0.733,2025-11-12,2025-11-14 03:11:05
R00000054,2026-02-15 08:25:54,C123919,P108502,5,Not as expected,True,3,0.532,2026-02-15,2026-02-20 08:25:54
R00000055,2025-12-22 00:50:23,C101927,P107390,4,Excellent,True,4,0.966,2025-12-22,2025-12-24 00:50:23
R00000056,2025-11-17 11:34:15,C104009,P110854,4,Average item,True,6,0.339,2025-11-17,2025-11-23 11:34:15
R00000057,2025-10-08 10:56:15,C112832,P105819,4,Excellent,True,5,-0.18,2025-10-08,2025-10-11 10:56:15
R00000058,2026-02-16 10:45:26,C119181,P111555,3,Fast shipping,True,4,-0.432,2026-02-16,2026-02-18 10:45:26
R00000059,2026-02-10 15:36:17,C116607,P101161,3,Fast shipping,True,1,0.123,2026-02-10,2026-02-13 15:36:17
R00000060,2025-12-08 21:30:43,C114551,P103958,1,Would buy again,False,3,0.788,2025-12-08,2025-12-14 21:30:43
R00000061,2025-11-10 17:34:58,C124386,P107712,4,Average item,True,4,0.192,2025-11-10,2025-11-13 17:34:58
R00000062,2025-12-21 19:52:19,C107770,P104847,5,Excellent,True,1,0.602,2025-12-21,2025-12-27 19:52:19
R00000063,2026-01-01 04:08:57,C111142,P106444,1,Needs improvement,True,0,0.161,2026-01-01,2026-01-04 04:08:57
R00000064,2025-10-26 23:31:32,C100096,P110996,1,Needs improvement,False,3,0.777,2025-10-26,2025-10-28 23:31:32
R00000065,2026-01-18 15:40:55,C121145,P109984,5,Good quality,True,1,0.765,2026-01-18,2026-01-19 15:40:55
R00000066,2026-03-30 23:03:55,C123651,P105939,4,Average item,True,2,0.579,2026-03-30,2026-04-04 23:03:55
R00000067,2025-12-20 21:12:08,C101648,P105477,5,Needs improvement,True,2,0.808,2025-12-20,2025-12-23 21:12:08
R00000068,2026-01-04 23:42:02,C108332,P100991,4,Excellent,True,1,-0.006,2026-01-04,2026-01-09 23:42:02
R00000069,2025-11-09 17:23:44,C109193,P103254,5,Average item,True,6,0.172,2025-11-09,2025-11-10 17:23:44
R00000070,2025-12-16 03:03:58,C114960,P107836,4,Would buy again,False,2,0.585,2025-12-16,2025-12-21 03:03:58
R00000071,2026-03-27 08:06:36,C124345,P105754,3,Would buy again,False,2,0.167,2026-03-27,2026-03-29 08:06:36
R00000072,2025-11-19 12:51:51,C112480,P101139,4,Great value,False,2,0.874,2025-11-19,2025-11-25 12:51:51
R00000073,2025-12-16 00:15:37,C123829,P106946,1,Would buy again,True,1,0.051,2025-12-16,2025-12-21 00:15:37
R00000074,2026-01-16 03:22:05,C102326,P111938,3,Would buy again,True,2,0.54,2026-01-16,2026-01-17 03:22:05
R00000075,2025-11-25 13:44:03,C104882,P100593,4,Would buy again,True,2,1.0,2025-11-25,2025-11-27 13:44:03
R00000076,2025-12-08 10:23:11,C121815,P108643,5,Needs improvement,True,2,0.51,2025-12-08,2025-12-14 10:23:11
R00000077,2025-10-17 02:05:09,C102082,P100637,4,Fast shipping,False,2,0.372,2025-10-17,2025-10-23 02:05:09
R00000078,2026-03-24 00:47:19,C106824,P100799,5,Excellent,True,1,0.911,2026-03-24,2026-03-27 00:47:19
R00000079,2025-12-28 15:31:47,C110389,P101594,5,Good quality,False,5,1.0,2025-12-28,2026-01-03 15:31:47
R00000080,2025-12-03 21:24:22,C107976,P109851,5,Excellent,False,7,0.197,2025-12-03,2025-12-04 21:24:22
R00000081,2026-03-09 11:28:18,C109446,P100486,5,Fast shipping,True,2,0.833,2026-03-09,2026-03-14 11:28:18
R00000082,2026-02-08 13:08:23,C122261,P104074,3,Needs improvement,True,3,0.696,2026-02-08,2026-02-11 13:08:23
R00000083,2026-01-23 00:49:40,C110898,P107896,3,Good quality,True,3,-0.065,2026-01-23,2026-01-27 00:49:40
R00000084,2026-03-01 15:26:56,C113977,P106606,4,Excellent,True,0,0.497,2026-03-01,2026-03-05 15:26:56
R00000085,2025-10-12 07:07:18,C105134,P107997,4,Needs improvement,True,1,0.841,2025-10-12,2025-10-16 07:07:18
R00000086,2026-01-02 16:34:07,C124738,P102824,4,Great value,True,3,0.895,2026-01-02,2026-01-07 16:34:07
R00000087,2026-01-12 23:27:55,C104822,P102151,5,Average item,True,2,0.635,2026-01-12,2026-01-15 23:27:55
R00000088,2025-10-29 06:19:01,C116403,P111509,4,Good quality,True,1,0.805,2025-10-29,2025-10-31 06:19:01
R00000089,2026-03-15 17:38:49,C111667,P106413,2,Average item,False,3,0.911,2026-03-15,2026-03-20 17:38:49
R00000090,2026-02-06 04:06:22,C104014,P107681,3,Great value,True,3,0.513,2026-02-06,2026-02-07 04:06:22
R00000091,2025-11-20 00:37:58,C106876,P102331,4,Average item,True,1,0.555,2025-11-20,2025-11-22 00:37:58
R00000092,2026-02-17 18:22:35,C103466,P107561,1,Good quality,True,2,0.967,2026-02-17,2026-02-21 18:22:35
R00000093,2026-03-26 23:55:58,C116176,P102830,4,Not as expected,True,3,0.192,2026-03-26,2026-03-31 23:55:58
R00000094,2025-12-17 08:38:15,C115750,P110414,4,Good quality,True,7,0.657,2025-12-17,2025-12-18 08:38:15
R00000095,2025-10-09 14:04:50,C117964,P103581,5,Needs improvement,False,1,0.0,2025-10-09,2025-10-12 14:04:50
R00000096,2025-10-30 18:11:46,C102863,P105571,4,Good quality,False,5,0.432,2025-10-30,2025-10-31 18:11:46
R00000097,2026-03-15 14:52:10,C103038,P104356,4,Excellent,True,1,0.484,2026-03-15,2026-03-20 14:52:10
R00000098,2026-02-13 12:43:02,C105027,P102902,3,Excellent,False,3,0.983,2026-02-13,2026-02-17 12:43:02
R00000099,2026-01-16 21:20:35,C121093,P107571,4,Fast shipping,True,3,0.366,2026-01-16,2026-01-22 21:20:35
R00000100,2026-02-17 12:29:21,C120937,P109087,4,Excellent,True,3,0.579,2026-02-17,2026-02-20 12:29:21
R00000101,2026-01-08 05:46:19,C106003,P105018,3,Would buy again,True,1,0.852,2026-01-08,2026-01-14 05:46:19
R00000102,2025-12-18 23:50:56,C102883,P109310,5,Excellent,True,2,0.136,2025-12-18,2025-12-20 23:50:56
R00000103,2025-12-27 14:46:56,C118042,P104211,4,Needs improvement,True,4,0.477,2025-12-27,2026-01-02 14:46:56
R00000104,2025-12-01 19:10:49,C118672,P102922,5,Excellent,True,3,-0.003,2025-12-01,2025-12-07 19:10:49
R00000105,2026-03-13 12:43:30,C117008,P107000,5,Fast shipping,True,6,0.532,2026-03-13,2026-03-17 12:43:30
R00000106,2026-01-06 07:56:15,C111638,P103195,5,Needs improvement,True,1,0.433,2026-01-06,2026-01-07 07:56:15
R00000107,2025-10-30 19:05:43,C100377,P108377,4,Average item,True,4,0.482,2025-10-30,2025-11-02 19:05:43
R00000108,2025-11-11 22:48:33,C117831,P104842,1,Fast shipping,True,2,0.151,2025-11-11,2025-11-15 22:48:33
R00000109,2025-10-06 23:36:03,C105486,P102890,1,Not as expected,False,5,-0.221,2025-10-06,2025-10-08 23:36:03
R00000110,2026-02-22 17:04:54,C103016,P102427,2,Great value,True,6,0.279,2026-02-22,2026-02-25 17:04:54
R00000111,2025-11-01 05:45:08,C104554,P102493,1,Excellent,True,1,0.57,2025-11-01,2025-11-06 05:45:08
R00000112,2025-10-23 04:16:54,C124988,P106242,1,Would buy again,True,2,0.906,2025-10-23,2025-10-25 04:16:54
R00000113,2026-01-28 09:45:57,C111245,P105098,4,Good quality,True,5,0.658,2026-01-28,2026-02-02 09:45:57
R00000114,2026-01-07 20:03:12,C114284,P101709,4,Not as expected,True,0,0.27,2026-01-07,2026-01-13 20:03:12
R00000115,2025-12-06 08:41:21,C122971,P105603,4,Fast shipping,True,3,0.438,2025-12-06,2025-12-10 08:41:21
R00000116,2026-01-21 04:43:56,C100765,P111977,5,Would buy again,True,1,0.036,2026-01-21,2026-01-23 04:43:56
R00000117,2026-03-01 11:58:04,C124098,P110869,2,Great value,True,4,0.722,2026-03-01,2026-03-05 11:58:04
R00000118,2026-03-27 20:08:53,C107632,P101897,4,Average item,True,4,0.581,2026-03-27,2026-03-28 20:08:53
R00000119,2025-11-03 16:31:56,C106797,P102109,3,Would buy again,True,2,0.807,2025-11-03,2025-11-09 16:31:56
R00000120,2025-12-30 07:23:48,C119718,P109308,5,Not as expected,True,3,0.691,2025-12-30,2026-01-02 07:23:48
R00000121,2025-10-07 08:40:08,C111826,P101035,5,Excellent,True,2,1.0,2025-10-07,2025-10-09 08:40:08
R00000122,2026-03-20 02:32:07,C111184,P107376,5,Great value,True,5,0.379,2026-03-20,2026-03-24 02:32:07
R00000123,2026-01-08 07:37:21,C120170,P106286,3,Excellent,False,2,0.568,2026-01-08,2026-01-14 07:37:21
R00000124,2026-01-20 11:53:33,C100449,P111784,5,Fast shipping,True,1,0.428,2026-01-20,2026-01-25 11:53:33
R00000125,2026-01-19 13:53:26,C119046,P106141,4,Average item,True,1,0.336,2026-01-19,2026-01-22 13:53:26
R00000126,2026-01-27 07:32:35,C118559,P103878,1,Great value,True,3,0.738,2026-01-27,2026-01-28 07:32:35
R00000127,2026-03-04 06:02:17,C113330,P110531,3,Fast shipping,True,6,0.034,2026-03-04,2026-03-07 06:02:17
R00000128,2026-01-11 19:35:28,C120691,P107201,4,Excellent,True,3,0.906,2026-01-11,2026-01-17 19:35:28
R00000129,2026-03-07 05:46:24,C103377,P104135,5,Great value,True,3,0.357,2026-03-07,2026-03-11 05:46:24
R00000130,2025-12-15 13:36:46,C109700,P110473,5,Fast shipping,True,3,1.0,2025-12-15,2025-12-18 13:36:46
R00000131,2026-01-27 23:19:24,C119512,P100611,4,Would buy again,True,3,0.191,2026-01-27,2026-01-29 23:19:24
R00000132,2026-02-17 12:51:19,C121416,P100501,3,Needs improvement,True,3,0.212,2026-02-17,2026-02-20 12:51:19
R00000133,2026-03-19 18:55:31,C104976,P106181,5,Average item,True,2,0.185,2026-03-19,2026-03-22 18:55:31
R00000134,2025-11-05 02:42:04,C111668,P100736,3,Would buy again,False,1,-0.031,2025-11-05,2025-11-11 02:42:04
R00000135,2025-12-13 19:46:13,C116724,P108669,5,Great value,True,3,0.47,2025-12-13,2025-12-14 19:46:13
R00000136,2025-11-25 13:00:46,C107640,P110832,4,Would buy again,True,2,0.965,2025-11-25,2025-12-01 13:00:46
R00000137,2025-11-22 10:37:49,C117426,P107909,5,Average item,True,1,0.341,2025-11-22,2025-11-28 10:37:49
R00000138,2026-02-12 09:44:37,C102272,P107541,3,Good quality,False,6,0.493,2026-02-12,2026-02-15 09:44:37
R00000139,2025-11-12 00:46:50,C113624,P108989,5,Great value,True,1,0.183,2025-11-12,2025-11-14 00:46:50
R00000140,2025-11-18 01:29:27,C106751,P108719,3,Excellent,True,4,0.712,2025-11-18,2025-11-20 01:29:27
R00000141,2026-03-28 03:33:05,C105262,P105463,5,Needs improvement,False,5,0.338,2026-03-28,2026-04-02 03:33:05
R00000142,2026-03-19 13:57:08,C118818,P103666,5,Great value,False,4,0.479,2026-03-19,2026-03-21 13:57:08
R00000143,2025-12-23 20:52:43,C110306,P104422,5,Excellent,True,5,0.658,2025-12-23,2025-12-29 20:52:43
R00000144,2025-11-28 02:32:13,C117982,P107830,3,Excellent,True,3,0.132,2025-11-28,2025-12-03 02:32:13
R00000145,2026-02-26 15:40:44,C118110,P105440,5,Excellent,True,3,0.006,2026-02-26,2026-03-02 15:40:44
R00000146,2026-03-18 19:02:19,C107802,P100649,5,Average item,True,2,0.93,2026-03-18,2026-03-23 19:02:19
R00000147,2026-01-10 08:05:49,C101270,P100033,5,Average item,True,1,0.975,2026-01-10,2026-01-14 08:05:49
R00000148,2025-11-07 00:00:13,C111882,P108980,4,Needs improvement,True,2,1.0,2025-11-07,2025-11-08 00:00:13
R00000149,2026-01-28 17:54:29,C118353,P105686,2,Average item,True,2,0.809,2026-01-28,2026-01-30 17:54:29
R00000150,2025-11-12 18:17:29,C124143,P108642,5,Average item,True,1,-0.044,2025-11-12,2025-11-17 18:17:29
R00000151,2026-03-04 23:32:33,C124568,P110956,3,Not as expected,True,4,0.274,2026-03-04,2026-03-09 23:32:33
R00000152,2025-10-04 15:10:51,C103397,P103818,5,Not as expected,True,3,0.263,2025-10-04,2025-10-10 15:10:51
R00000153,2025-12-18 09:46:09,C111379,P102495,3,Needs improvement,True,0,0.353,2025-12-18,2025-12-22 09:46:09
R00000154,2026-03-13 06:50:10,C106358,P109103,5,Excellent,True,0,0.728,2026-03-13,2026-03-19 06:50:10
R00000155,2025-11-20 14:34:41,C111843,P111204,5,Would buy again,False,1,0.706,2025-11-20,2025-11-25 14:34:41
R00000156,2025-10-24 00:21:58,C122035,P110905,4,Needs improvement,True,3,0.808,2025-10-24,2025-10-26 00:21:58
R00000157,2026-02-07 13:48:32,C104950,P109840,4,Average item,True,2,0.601,2026-02-07,2026-02-09 13:48:32
R00000158,2026-01-08 20:59:54,C102723,P108928,4,Fast shipping,True,7,-0.142,2026-01-08,2026-01-11 20:59:54
R00000159,2025-12-10 20:03:57,C106869,P105414,3,Good quality,True,4,0.588,2025-12-10,2025-12-15 20:03:57
R00000160,2025-12-28 02:16:48,C104456,P101159,3,Needs improvement,True,6,0.318,2025-12-28,2026-01-01 02:16:48
R00000161,2026-01-20 03:33:06,C121558,P101475,4,Good quality,True,1,0.203,2026-01-20,2026-01-22 03:33:06
R00000162,2025-11-10 08:52:58,C108820,P100521,5,Not as expected,True,1,0.765,2025-11-10,2025-11-11 08:52:58
R00000163,2025-11-27 13:04:39,C112224,P100820,5,Average item,True,2,1.0,2025-11-27,2025-12-01 13:04:39
R00000164,2025-12-06 23:16:02,C102153,P100703,5,Fast shipping,True,2,0.812,2025-12-06,2025-12-10 23:16:02
R00000165,2025-12-16 21:17:33,C119369,P106054,5,Would buy again,True,6,0.426,2025-12-16,2025-12-17 21:17:33
R00000166,2025-12-31 04:05:46,C114919,P101102,4,Excellent,True,4,0.763,2025-12-31,2026-01-02 04:05:46
R00000167,2026-03-15 17:11:13,C118411,P110538,2,Great value,True,3,0.443,2026-03-15,2026-03-16 17:11:13
R00000168,2026-02-11 13:07:51,C114739,P102369,3,Needs improvement,True,3,0.884,2026-02-11,2026-02-13 13:07:51
R00000169,2026-03-02 07:47:35,C109730,P104605,3,Fast shipping,True,3,0.608,2026-03-02,2026-03-06 07:47:35
R00000170,2026-03-31 03:32:31,C116090,P100084,4,Average item,True,1,0.311,2026-03-31,2026-04-01 03:32:31
R00000171,2025-10-01 06:03:39,C117328,P108056,5,Needs improvement,False,1,0.759,2025-10-01,2025-10-03 06:03:39
R00000172,2026-02-13 22:52:32,C116395,P103976,4,Excellent,True,0,0.736,2026-02-13,2026-02-18 22:52:32
R00000173,2026-01-27 19:28:55,C124759,P100721,4,Good quality,True,5,0.842,2026-01-27,2026-02-02 19:28:55
R00000174,2025-10-30 13:12:48,C123719,P101530,3,Fast shipping,True,2,0.886,2025-10-30,2025-11-02 13:12:48
R00000175,2025-10-19 18:38:55,C113829,P100109,5,Great value,True,3,0.581,2025-10-19,2025-10-25 18:38:55
R00000176,2026-01-07 14:30:10,C123869,P107422,5,Excellent,True,2,0.114,2026-01-07,2026-01-10 14:30:10
R00000177,2026-03-20 09:20:38,C108093,P104516,3,Excellent,True,1,-0.1,2026-03-20,2026-03-22 09:20:38
R00000178,2025-11-21 03:06:43,C123457,P101515,5,Would buy again,True,4,0.413,2025-11-21,2025-11-27 03:06:43
R00000179,2026-01-24 09:54:34,C120695,P102273,5,Fast shipping,True,3,0.575,2026-01-24,2026-01-29 09:54:34
R00000180,2026-03-19 14:03:26,C123464,P101696,1,Would buy again,True,1,0.408,2026-03-19,2026-03-20 14:03:26
R00000181,2025-11-24 06:40:54,C117702,P110105,3,Good quality,True,3,0.305,2025-11-24,2025-11-29 06:40:54
R00000182,2025-11-12 22:25:28,C108488,P111801,4,Needs improvement,True,2,0.823,2025-11-12,2025-11-16 22:25:28
R00000183,2025-12-29 06:33:43,C118346,P102423,5,Great value,True,1,0.493,2025-12-29,2026-01-01 06:33:43
R00000184,2026-02-17 08:51:06,C111933,P104656,3,Great value,False,4,-0.377,2026-02-17,2026-02-22 08:51:06
R00000185,2026-03-11 05:52:13,C117441,P107824,5,Great value,False,1,0.195,2026-03-11,2026-03-15 05:52:13
R00000186,2025-10-01 11:21:26,C109542,P100419,5,Excellent,True,5,0.364,2025-10-01,2025-10-06 11:21:26
R00000187,2026-01-20 15:42:48,C119876,P101477,4,Needs improvement,True,1,0.955,2026-01-20,2026-01-26 15:42:48
R00000188,2026-01-05 01:07:22,C120125,P105553,4,Not as expected,True,4,0.784,2026-01-05,2026-01-06 01:07:22
R00000189,2025-12-17 22:48:00,C105681,P106781,5,Great value,True,2,1.0,2025-12-17,2025-12-19 22:48:00
R00000190,2026-03-14 18:53:15,C107815,P111978,2,Excellent,True,3,1.0,2026-03-14,2026-03-20 18:53:15
R00000191,2025-11-22 11:03:08,C119914,P106258,5,Not as expected,True,1,0.145,2025-11-22,2025-11-28 11:03:08
R00000192,2026-02-01 12:31:51,C104092,P103337,4,Excellent,True,1,0.458,2026-02-01,2026-02-07 12:31:51
R00000193,2025-12-07 16:34:26,C118429,P111538,4,Excellent,True,2,-0.106,2025-12-07,2025-12-09 16:34:26
R00000194,2026-01-22 20:46:19,C119177,P105170,4,Average item,True,1,0.608,2026-01-22,2026-01-24 20:46:19
R00000195,2026-02-26 07:07:52,C119174,P108962,3,Fast shipping,True,3,0.636,2026-02-26,2026-03-02 07:07:52
R00000196,2025-11-01 20:13:43,C103728,P106634,5,Needs improvement,True,2,-0.051,2025-11-01,2025-11-02 20:13:43
R00000197,2025-10-22 14:05:08,C107089,P111456,5,Would buy again,True,2,0.76,2025-10-22,2025-10-25 14:05:08
R00000198,2025-11-08 11:59:53,C124160,P103953,5,Not as expected,False,4,0.571,2025-11-08,2025-11-13 11:59:53
R00000199,2026-03-22 07:58:00,C100700,P102917,5,Excellent,True,2,-0.114,2026-03-22,2026-03-26 07:58:00
R00000200,2025-10-15 02:19:12,C101987,P100798,2,Good quality,True,1,0.335,2025-10-15,2025-10-16 02:19:12
R00000201,2026-02-13 13:15:13,C107863,P109052,3,Would buy again,True,5,0.188,2026-02-13,2026-02-16 13:15:13
R00000202,2025-10-08 06:11:15,C100329,P104842,5,Fast shipping,True,3,-0.029,2025-10-08,2025-10-10 06:11:15
R00000203,2025-12-09 17:14:30,C119159,P108695,4,Not as expected,False,1,0.892,2025-12-09,2025-12-10 17:14:30
R00000204,2025-12-06 15:49:14,C119463,P110291,1,Great value,False,5,-0.365,2025-12-06,2025-12-10 15:49:14
R00000205,2026-01-17 03:41:50,C105727,P104386,4,Great value,False,3,1.0,2026-01-17,2026-01-20 03:41:50
R00000206,2025-10-04 15:51:29,C100699,P108861,5,Good quality,True,0,-0.11,2025-10-04,2025-10-08 15:51:29
R00000207,2026-03-31 14:44:59,C107202,P101441,3,Not as expected,False,1,0.542,2026-03-31,2026-04-03 14:44:59
R00000208,2025-10-21 08:17:33,C110358,P100375,3,Great value,True,1,0.193,2025-10-21,2025-10-26 08:17:33
R00000209,2025-11-05 06:09:16,C118658,P107675,3,Great value,True,3,0.47,2025-11-05,2025-11-09 06:09:16
R00000210,2026-03-22 19:21:43,C101351,P107180,4,Average item,True,2,0.4,2026-03-22,2026-03-26 19:21:43
R00000211,2026-01-08 05:49:01,C110476,P107129,4,Excellent,True,2,0.071,2026-01-08,2026-01-12 05:49:01
R00000212,2026-02-03 21:44:04,C119151,P105405,1,Average item,True,3,0.069,2026-02-03,2026-02-06 21:44:04
R00000213,2026-03-25 08:51:59,C121036,P109629,3,Excellent,True,2,0.281,2026-03-25,2026-03-26 08:51:59
R00000214,2026-01-09 14:51:21,C102487,P108220,4,Excellent,True,3,1.0,2026-01-09,2026-01-12 14:51:21
R00000215,2025-11-09 13:19:18,C101147,P104994,4,Great value,False,2,0.693,2025-11-09,2025-11-12 13:19:18
R00000216,2026-03-19 04:39:17,C122003,P107163,5,Excellent,True,3,0.708,2026-03-19,2026-03-23 04:39:17
R00000217,2025-11-22 08:03:11,C114435,P104631,4,Average item,True,2,0.389,2025-11-22,2025-11-28 08:03:11
R00000218,2025-11-06 09:08:27,C102098,P106399,5,Not as expected,True,1,0.808,2025-11-06,2025-11-08 09:08:27
R00000219,2025-10-06 05:10:13,C108508,P101000,4,Would buy again,False,4,0.172,2025-10-06,2025-10-08 05:10:13
R00000220,2025-12-19 02:15:33,C106880,P101889,5,Average item,True,0,0.265,2025-12-19,2025-12-20 02:15:33
R00000221,2025-11-12 23:31:58,C102320,P104116,4,Fast shipping,True,1,0.069,2025-11-12,2025-11-17 23:31:58
R00000222,2025-10-29 21:03:40,C100994,P107748,5,Great value,True,8,0.059,2025-10-29,2025-11-01 21:03:40
R00000223,2026-01-06 11:56:13,C117914,P109618,3,Average item,True,2,0.178,2026-01-06,2026-01-08 11:56:13
R00000224,2026-01-05 08:11:44,C117751,P111506,5,Would buy again,False,2,0.551,2026-01-05,2026-01-08 08:11:44
R00000225,2025-11-19 21:37:11,C108179,P109587,4,Average item,True,1,0.777,2025-11-19,2025-11-23 21:37:11
