order_id,event_time,arrival_time,customer_id,product_id,quantity,unit_price,discount_amount,shipping_fee,payment_status,shipping_status,warehouse_id,delivery_partner,late_arrival_flag,source_system,total_amount
O00000032,2025-11-03 10:47:05,2025-11-03 11:07:02,C102101,P109961,1,38.83,0.0,0.0,paid,delivered,WH-AP-02,DHL,False,payment_gateway,38.83
O00000033,2025-11-03 17:49:11,2025-11-03 18:16:36,C109840,P101113,1,16.85,0.0,0.0,paid,delayed,WH-NA-02,DHL,False,order_service,16.85
O00000034,2026-01-12 18:47:07,2026-01-14 15:28:35,C101270,P108731,1,34.41,1.72,9.99,paid,in_transit,WH-EU-02,Local Partner,True,shipping_partner,42.68
O00000035,2026-02-01 13:17:44,2026-02-03 07:47:23,C109131,P106679,3,83.7,37.66,0.0,paid,delivered,WH-ME-02,FedEx,True,shipping_partner,213.44
O00000036,2026-03-21 15:11:04,2026-03-21 16:29:56,C103558,P107636,3,25.46,0.0,5.99,paid,in_transit,WH-AP-01,Local Partner,False,order_service,82.37
O00000037,2026-03-22 15:39:45,2026-03-22 15:55:08,C113971,P102885,2,36.63,0.0,0.0,paid,delayed,WH-ME-01,Amazon Logistics,False,shipping_partner,73.26
O00000038,2025-10-29 03:00:55,2025-10-29 03:29:34,C119461,P108922,1,128.49,0.0,0.0,paid,delivered,WH-EU-01,Amazon Logistics,False,shipping_partner,128.49
O00000039,2025-11-21 13:01:31,2025-11-21 13:48:49,C117974,P109086,2,23.19,0.0,0.0,paid,delivered,WH-AP-04,DHL,False,payment_gateway,46.38
O00000040,2026-03-07 15:57:52,2026-03-07 17:42:06,C124802,P102476,2,18.64,1.86,0.0,paid,delivered,WH-ME-04,DHL,False,order_service,35.42
O00000041,2026-03-15 22:29:28,2026-03-15 23:26:55,C123002,P101300,1,14.04,1.4,3.99,pending,delivered,WH-LA-04,Amazon Logistics,False,shipping_partner,16.63
O00000042,2025-11-10 15:25:35,2025-11-12 00:46:48,C103561,P107788,1,7.37,1.11,3.99,paid,delivered,WH-EU-01,DHL,True,order_service,10.25
O00000043,2025-11-03 14:23:08,2025-11-03 16:21:13,C101479,P103542,1,3.72,0.74,5.99,paid,delivered,WH-AP-01,FedEx,False,shipping_partner,8.97
O00000044,2026-01-27 23:21:45,2026-01-28 00:53:37,C121691,P108355,1,29.33,0.0,5.99,paid,in_transit,WH-NA-03,DHL,False,order_service,35.32
O00000045,2025-11-23 23:54:33,2025-11-25 22:51:59,C109015,P101938,2,26.77,8.03,9.99,paid,delivered,WH-NA-01,FedEx,True,order_service,55.5
O00000046,2026-03-13 12:22:47,2026-03-13 13:36:02,C111822,P106233,1,14.4,0.0,5.99,failed,delivered,WH-ME-04,Amazon Logistics,False,shipping_partner,20.39
O00000047,2025-10-07 14:29:06,2025-10-07 15:22:28,C113728,P108439,1,27.12,4.07,5.99,paid,returned,WH-LA-02,Amazon Logistics,False,order_service,29.04
O00000048,2025-12-15 14:54:00,2025-12-15 15:21:35,C113993,P100188,2,38.74,0.0,3.99,paid,delivered,WH-LA-02,Local Partner,False,payment_gateway,81.47
O00000049,2025-10-30 10:39:18,2025-10-30 12:27:14,C113441,P104562,1,24.12,0.0,0.0,paid,returned,WH-ME-01,Amazon Logistics,False,shipping_partner,24.12
O00000050,2026-03-27 16:26:09,2026-03-27 16:28:02,C124795,P107934,3,28.49,0.0,0.0,paid,delayed,WH-LA-03,Amazon Logistics,False,shipping_partner,85.47
O00000051,2025-10-30 15:22:05,2025-10-30 17:14:41,C113382,P101579,1,11.29,0.0,0.0,paid,delivered,WH-LA-03,Local Partner,False,payment_gateway,11.29
O00000052,2026-02-15 01:47:09,2026-02-16 19:50:21,C123213,P105002,1,42.23,6.33,0.0,paid,delivered,WH-ME-02,Local Partner,True,order_service,35.9
O00000053,2026-03-31 23:22:46,2026-03-31 23:40:57,C110377,P107038,1,9.16,0.0,5.99,paid,returned,WH-EU-02,FedEx,False,order_service,15.15
O00000054,2026-02-28 21:07:23,2026-03-01 19:56:05,C110189,P102059,1,14.24,0.71,0.0,paid,delivered,WH-ME-03,DHL,True,payment_gateway,13.53
O00000055,2026-02-28 02:17:28,2026-02-28 03:44:50,C112378,P105964,1,83.22,0.0,5.99,paid,delivered,WH-LA-03,Amazon Logistics,False,order_service,89.21
O00000056,2025-11-24 10:16:31,2025-11-24 10:42:03,C110879,P105358,1,6.71,0.67,0.0,paid,delivered,WH-LA-02,DHL,False,order_service,6.04
O00000057,2025-12-31 00:25:58,2026-01-01 04:57:19,C100611,P110980,1,61.98,0.0,0.0,refunded,delivered,WH-AP-04,FedEx,True,shipping_partner,61.98
O00000058,2025-10-14 06:42:57,2025-10-14 08:34:31,C118088,P108805,3,7.81,0.0,5.99,paid,delivered,WH-LA-03,UPS,False,order_service,29.42
O00000059,2026-02-17 01:31:14,2026-02-18 18:04:17,C112585,P100699,3,30.23,0.0,0.0,paid,delivered,WH-ME-04,Local Partner,True,order_service,90.69
O00000060,2025-12-14 17:43:08,2025-12-15 16:05:58,C112973,P106081,1,6.21,0.31,3.99,paid,delivered,WH-EU-01,Local Partner,True,payment_gateway,9.89
O00000061,2026-03-22 11:27:29,2026-03-22 11:31:37,C116968,P106159,1,18.58,0.0,0.0,refunded,delivered,WH-EU-04,FedEx,False,payment_gateway,18.58
O00000062,2025-10-19 05:33:16,2025-10-19 07:11:22,C122650,P108242,1,16.88,0.0,5.99,paid,delivered,WH-EU-01,FedEx,False,shipping_partner,22.87
O00000063,2026-02-08 11:55:44,2026-02-08 13:02:59,C107800,P110616,1,40.36,4.04,0.0,pending,delivered,WH-EU-04,DHL,False,order_service,36.32
O00000064,2025-12-08 07:10:50,2025-12-08 07:57:37,C110158,P107663,1,38.06,5.71,0.0,paid,delivered,WH-EU-02,Local Partner,False,order_service,32.35
O00000065,2025-10-22 16:24:35,2025-10-22 17:02:05,C113153,P102878,1,20.75,0.0,0.0,refunded,cancelled,WH-ME-03,FedEx,False,payment_gateway,20.75
O00000066,2026-03-18 13:24:21,2026-03-18 14:44:27,C109887,P108811,1,27.86,1.39,5.99,paid,delivered,WH-LA-04,Amazon Logistics,False,order_service,32.46
O00000067,2025-12-08 04:41:48,2025-12-09 22:52:14,C111076,P104567,1,98.64,0.0,0.0,paid,delivered,WH-EU-04,Local Partner,True,shipping_partner,98.64
O00000068,2025-12-10 22:54:52,2025-12-11 12:20:29,C105477,P104030,1,22.3,1.12,5.99,pending,delivered,WH-AP-01,FedEx,True,order_service,27.17
O00000069,2026-02-03 07:51:03,2026-02-04 23:12:08,C101344,P111911,1,16.56,0.0,3.99,pending,delivered,WH-EU-03,Local Partner,True,shipping_partner,20.55
O00000070,2026-01-16 23:39:30,2026-01-17 00:11:35,C112060,P107656,3,85.23,0.0,3.99,failed,delivered,WH-NA-01,UPS,False,shipping_partner,259.68
O00000071,2026-01-22 10:31:54,2026-01-22 22:48:37,C124895,P104166,1,42.13,0.0,3.99,paid,delivered,WH-ME-01,DHL,True,shipping_partner,46.12
O00000072,2025-10-25 10:22:40,2025-10-26 12:42:51,C105329,P106240,3,14.57,0.0,5.99,paid,delivered,WH-NA-01,UPS,True,shipping_partner,49.7
O00000073,2025-10-22 14:29:25,2025-10-22 16:12:50,C108938,P102781,3,14.69,2.2,0.0,failed,delivered,WH-EU-01,UPS,False,order_service,41.87
O00000074,2025-11-17 02:43:06,2025-11-17 03:22:43,C116530,P107939,2,22.28,4.46,5.99,pending,delivered,WH-EU-04,Local Partner,False,order_service,46.09
O00000075,2026-01-11 01:41:04,2026-01-11 01:57:04,C108874,P104414,1,23.46,0.0,0.0,paid,cancelled,WH-NA-03,Amazon Logistics,False,shipping_partner,23.46
O00000076,2026-03-15 13:07:53,2026-03-15 14:26:49,C119081,P104159,4,56.36,0.0,5.99,paid,delivered,WH-NA-03,DHL,False,order_service,231.43
O00000077,2025-11-13 22:20:40,2025-11-13 23:43:52,C124485,P100067,1,56.64,8.5,3.99,paid,delivered,WH-AP-03,Local Partner,False,shipping_partner,52.13
O00000078,2025-12-22 04:16:53,2025-12-22 04:24:07,C121960,P102141,1,11.45,0.0,3.99,paid,delivered,WH-LA-01,DHL,False,order_service,15.44
O00000079,2025-10-05 15:26:32,2025-10-05 17:14:48,C115322,P104348,1,29.45,0.0,5.99,paid,delivered,WH-LA-01,FedEx,False,payment_gateway,35.44
O00000080,2026-01-06 13:22:03,2026-01-06 13:43:44,C118212,P109867,3,34.52,0.0,5.99,paid,delivered,WH-AP-02,FedEx,False,payment_gateway,109.55
O00000081,2026-03-04 10:08:12,2026-03-04 11:35:05,C113860,P101128,1,65.04,0.0,5.99,paid,delivered,WH-ME-02,Amazon Logistics,False,shipping_partner,71.03
O00000082,2026-03-18 01:18:55,2026-03-18 02:12:12,C106807,P100271,1,13.33,0.0,3.99,pending,delivered,WH-LA-03,FedEx,False,shipping_partner,17.32
O00000083,2025-10-20 04:45:54,2025-10-20 05:49:08,C108502,P104312,1,16.81,0.0,9.99,paid,delivered,WH-EU-03,UPS,False,payment_gateway,26.8
O00000084,2026-02-16 20:19:21,2026-02-16 21:29:32,C110488,P111444,1,50.4,10.08,3.99,paid,delivered,WH-NA-03,Amazon Logistics,False,shipping_partner,44.31
O00000085,2026-02-06 12:10:35,2026-02-06 13:32:47,C108850,P103337,1,22.66,1.13,0.0,paid,returned,WH-EU-02,UPS,False,order_service,21.53
O00000086,2025-11-08 19:54:00,2025-11-08 20:44:59,C112952,P104702,1,142.85,7.14,5.99,paid,delayed,WH-NA-01,DHL,False,order_service,141.7
O00000087,2026-02-03 15:48:32,2026-02-03 16:35:05,C115424,P111313,2,54.54,0.0,0.0,paid,delivered,WH-AP-02,Amazon Logistics,False,order_service,109.08
O00000088,2025-11-26 12:17:41,2025-11-26 13:14:44,C107610,P104338,1,37.79,3.78,3.99,paid,returned,WH-ME-02,Local Partner,False,shipping_partner,38.0
O00000089,2025-12-26 18:13:20,2025-12-28 08:18:33,C120485,P111889,1,27.73,0.0,3.99,failed,delivered,WH-NA-04,DHL,True,shipping_partner,31.72
O00000090,2025-11-21 02:19:36,2025-11-21 04:07:25,C108968,P106106,1,32.98,4.95,3.99,paid,delayed,WH-LA-02,UPS,False,order_service,32.02
O00000091,2026-03-02 21:19:12,2026-03-04 09:24:18,C120038,P109557,1,40.36,0.0,3.99,paid,delayed,WH-AP-04,DHL,True,payment_gateway,44.35
O00000092,2026-01-29 00:07:21,2026-01-29 01:45:23,C108856,P104410,1,22.3,2.23,0.0,paid,delivered,WH-LA-04,Amazon Logistics,False,shipping_partner,20.07
O00000093,2026-01-26 20:26:15,2026-01-26 21:50:18,C106779,P104677,2,71.39,0.0,0.0,paid,delivered,WH-ME-02,DHL,False,shipping_partner,142.78
O00000094,2025-11-02 10:20:02,2025-11-04 04:02:39,C113543,P100475,1,20.15,0.0,3.99,paid,cancelled,WH-AP-02,UPS,True,order_service,24.14
O00000095,2026-01-29 21:37:43,2026-01-30 03:39:13,C123940,P103361,1,38.27,0.0,0.0,paid,delivered,WH-AP-02,DHL,True,payment_gateway,38.27
O00000096,2026-01-06 19:24:16,2026-01-06 19:52:37,C122379,P100636,1,11.72,0.0,5.99,paid,in_transit,WH-AP-02,FedEx,False,order_service,17.71
O00000097,2025-10-16 11:33:19,2025-10-16 12:06:59,C105691,P101549,1,39.84,5.98,0.0,paid,delivered,WH-ME-01,Amazon Logistics,False,shipping_partner,33.86
O00000098,2025-10-01 06:12:48,2025-10-02 04:21:05,C120056,P104477,1,24.46,0.0,5.99,paid,delivered,WH-AP-01,UPS,True,order_service,30.45
O00000099,2026-03-07 01:10:30,2026-03-07 02:02:50,C115229,P108435,2,13.81,2.76,5.99,refunded,delivered,WH-ME-04,DHL,False,shipping_partner,30.85
O00000100,2025-11-09 15:35:13,2025-11-11 08:54:52,C119745,P107162,3,54.28,0.0,3.99,paid,delivered,WH-LA-02,DHL,True,payment_gateway,166.83
O00000101,2026-03-20 09:03:34,2026-03-20 10:43:01,C102341,P103286,1,19.49,0.97,5.99,paid,returned,WH-AP-02,UPS,False,order_service,24.51
O00000102,2026-03-17 10:17:41,2026-03-17 11:56:36,C104658,P104590,1,105.94,0.0,0.0,paid,delayed,WH-NA-03,FedEx,False,shipping_partner,105.94
O00000103,2025-12-08 21:05:59,2025-12-08 21:59:02,C120868,P109890,2,11.96,2.39,0.0,paid,delayed,WH-EU-01,Amazon Logistics,False,payment_gateway,21.53
O00000104,2025-11-23 16:44:17,2025-11-23 17:03:36,C115927,P110564,3,61.84,18.55,3.99,paid,cancelled,WH-AP-04,Local Partner,False,payment_gateway,170.96
O00000105,2026-03-17 05:57:27,2026-03-17 06:27:09,C121370,P102354,1,7.77,0.0,5.99,paid,delayed,WH-AP-01,DHL,False,order_service,13.76
O00000106,2026-03-14 04:19:51,2026-03-14 14:48:34,C102977,P104373,3,9.66,2.9,0.0,refunded,in_transit,WH-EU-04,DHL,True,payment_gateway,26.08
O00000107,2026-01-02 19:12:04,2026-01-02 20:51:19,C108087,P103850,1,18.07,2.71,0.0,paid,delivered,WH-EU-03,DHL,False,order_service,15.36
O00000108,2025-10-29 01:43:15,2025-10-29 02:56:16,C108015,P104399,1,18.07,0.9,0.0,refunded,delivered,WH-AP-03,DHL,False,order_service,17.17
O00000109,2026-01-09 15:23:07,2026-01-09 16:55:42,C104391,P101012,1,16.48,2.47,3.99,paid,delivered,WH-ME-03,DHL,False,payment_gateway,18.0
O00000110,2025-10-15 14:38:27,2025-10-15 15:41:00,C101415,P103775,1,8.24,0.0,3.99,paid,cancelled,WH-EU-03,Local Partner,False,order_service,12.23
O00000111,2026-03-25 17:40:38,2026-03-27 15:34:00,C123035,P101848,2,11.34,0.0,0.0,paid,in_transit,WH-AP-03,UPS,True,shipping_partner,22.68
O00000112,2026-03-20 07:16:45,2026-03-20 08:36:47,C124933,P102807,2,43.95,0.0,5.99,paid,delivered,WH-NA-03,UPS,False,shipping_partner,93.89
O00000113,2025-12-01 17:41:25,2025-12-01 18:20:13,C106605,P101680,1,14.03,0.0,0.0,paid,delivered,WH-AP-01,FedEx,False,payment_gateway,14.03
O00000114,2025-12-13 13:27:59,2025-12-13 14:12:10,C116628,P101902,1,6.94,0.0,3.99,failed,delivered,WH-ME-02,FedEx,False,payment_gateway,10.93
O00000115,2025-10-21 02:48:22,2025-10-21 03:37:08,C110132,P111721,1,33.59,0.0,5.99,paid,returned,WH-LA-03,Amazon Logistics,False,order_service,39.58
O00000116,2026-02-12 08:32:01,2026-02-12 09:33:28,C121602,P103296,1,13.28,1.33,5.99,pending,delivered,WH-EU-01,FedEx,False,shipping_partner,17.94
O00000117,2026-03-06 19:07:46,2026-03-06 19:37:14,C108527,P111344,1,7.38,0.37,3.99,paid,delivered,WH-EU-02,Amazon Logistics,False,order_service,11.0
O00000118,2026-03-10 19:12:12,2026-03-10 21:05:32,C124402,P107358,1,19.51,0.98,3.99,paid,in_transit,WH-LA-01,DHL,False,payment_gateway,22.52
O00000119,2025-12-22 07:42:17,2025-12-22 08:39:49,C118069,P101387,1,17.64,2.65,5.99,paid,delivered,WH-AP-01,Local Partner,False,shipping_partner,20.98
O00000120,2025-10-27 00:24:44,2025-10-27 02:03:18,C109168,P102755,3,15.66,4.7,3.99,paid,delivered,WH-ME-03,UPS,False,payment_gateway,46.27
O00000121,2026-03-19 12:34:23,2026-03-19 13:26:40,C101021,P105984,1,21.16,1.06,0.0,paid,delivered,WH-ME-03,Amazon Logistics,False,shipping_partner,20.1
O00000122,2025-10-06 14:39:42,2025-10-06 15:25:54,C123119,P100852,2,36.92,0.0,5.99,refunded,delivered,WH-EU-02,Amazon Logistics,False,order_service,79.83
O00000123,2026-03-26 09:30:55,2026-03-26 11:19:00,C116286,P107907,3,49.88,14.96,0.0,paid,delivered,WH-NA-01,DHL,False,shipping_partner,134.68
O00000124,2025-10-16 06:58:26,2025-10-16 07:56:05,C110252,P104542,1,27.83,4.17,5.99,paid,cancelled,WH-EU-02,DHL,False,payment_gateway,29.65
O00000125,2025-11-27 00:19:46,2025-11-27 01:44:59,C121963,P103065,4,45.88,9.18,3.99,paid,delayed,WH-NA-03,Amazon Logistics,False,shipping_partner,178.33
O00000126,2025-12-25 02:49:57,2025-12-25 03:04:52,C100077,P110666,1,45.78,0.0,3.99,paid,delayed,WH-EU-03,DHL,False,payment_gateway,49.77
O00000127,2025-10-14 13:37:43,2025-10-14 13:42:59,C123137,P102845,1,105.77,10.58,3.99,pending,delivered,WH-EU-01,UPS,False,shipping_partner,99.18
O00000128,2026-02-16 14:46:33,2026-02-17 06:38:13,C124019,P103207,1,48.95,2.45,0.0,paid,delivered,WH-NA-04,Local Partner,True,shipping_partner,46.5
O00000129,2025-12-01 16:32:28,2025-12-01 16:59:52,C116408,P109206,1,16.96,0.0,0.0,paid,in_transit,WH-ME-03,DHL,False,shipping_partner,16.96
O00000130,2025-10-27 18:41:03,2025-10-28 11:17:10,C110986,P107065,1,23.12,0.0,5.99,paid,delivered,WH-AP-04,Amazon Logistics,True,order_service,29.11
O00000131,2026-03-23 23:59:17,2026-03-24 00:37:36,C104208,P109395,1,17.75,0.0,0.0,paid,delivered,WH-ME-01,UPS,False,shipping_partner,17.75
O00000132,2026-01-02 04:38:00,2026-01-02 05:54:26,C116339,P102914,2,65.9,19.77,0.0,paid,delivered,WH-LA-02,Local Partner,False,shipping_partner,112.03
O00000133,2025-11-04 03:35:08,2025-11-05 19:54:33,C103805,P110529,1,6.22,0.0,0.0,paid,delivered,WH-NA-01,Amazon Logistics,True,shipping_partner,6.22
O00000134,2026-02-26 11:31:59,2026-02-26 13:29:26,C118735,P111119,1,44.88,0.0,3.99,paid,delivered,WH-AP-04,FedEx,False,order_service,48.87
O00000135,2026-03-07 13:12:53,2026-03-07 13:59:16,C116935,P104454,1,17.38,2.61,3.99,paid,delivered,WH-AP-01,UPS,False,payment_gateway,18.76
O00000136,2026-02-28 15:24:59,2026-03-02 06:05:39,C115985,P111336,3,29.08,8.72,5.99,paid,in_transit,WH-ME-02,FedEx,True,shipping_partner,84.51
O00000137,2025-10-02 10:50:03,2025-10-02 12:27:15,C117106,P107589,1,12.25,0.0,0.0,paid,delayed,WH-EU-02,FedEx,False,payment_gateway,12.25
O00000138,2026-03-24 19:54:52,2026-03-24 20:09:19,C102489,P109250,2,37.82,7.56,3.99,failed,returned,WH-NA-03,UPS,False,shipping_partner,72.07
O00000139,2025-11-01 18:54:30,2025-11-01 20:04:14,C123067,P109647,1,17.02,0.0,3.99,paid,in_transit,WH-AP-03,UPS,False,payment_gateway,21.01
O00000140,2025-11-04 06:16:37,2025-11-04 07:17:59,C117757,P107266,1,28.53,0.0,0.0,paid,delivered,WH-EU-03,Amazon Logistics,False,payment_gateway,28.53
O00000141,2025-10-17 17:17:27,2025-10-17 17:22:06,C104349,P104631,1,25.83,0.0,5.99,paid,delayed,WH-ME-02,Local Partner,False,order_service,31.82
O00000142,2025-11-17 12:22:59,2025-11-19 02:29:16,C106594,P100070,1,33.12,3.31,5.99,paid,delivered,WH-LA-04,Amazon Logistics,True,order_service,35.8
O00000143,2025-11-12 00:44:19,2025-11-12 21:05:29,C116394,P110546,1,15.43,0.0,3.99,paid,delivered,WH-AP-02,Amazon Logistics,True,payment_gateway,19.42
O00000144,2026-01-31 11:49:24,2026-01-31 13:34:41,C118739,P102698,1,9.6,1.44,0.0,refunded,delayed,WH-AP-02,DHL,False,order_service,8.16
O00000145,2025-11-21 10:41:41,2025-11-21 11:03:53,C114475,P102886,1,12.0,0.6,5.99,paid,delivered,WH-ME-04,Local Partner,False,shipping_partner,17.39
O00000146,2026-03-08 16:20:35,2026-03-08 17:07:03,C114292,P102450,1,6.68,0.0,0.0,paid,delivered,WH-AP-04,UPS,False,shipping_partner,6.68
O00000147,2025-10-19 15:52:20,2025-10-19 17:26:47,C111255,P108810,3,10.71,0.0,0.0,paid,cancelled,WH-NA-04,UPS,False,shipping_partner,32.13
O00000148,2025-10-03 10:01:19,2025-10-03 11:15:53,C120460,P100501,1,13.53,0.0,0.0,refunded,delivered,WH-LA-01,DHL,False,order_service,13.53
O00000149,2026-02-13 20:04:08,2026-02-13 21:25:28,C107575,P107956,1,51.22,5.12,5.99,paid,delivered,WH-ME-02,UPS,False,payment_gateway,52.09
O00000150,2026-03-22 07:46:36,2026-03-23 20:56:36,C105722,P111703,1,79.88,0.0,0.0,paid,delivered,WH-ME-02,Local Partner,True,order_service,79.88
O00000151,2025-12-11 12:43:07,2025-12-11 13:34:41,C103681,P106431,2,38.07,11.42,3.99,refunded,delivered,WH-LA-03,FedEx,False,shipping_partner,68.71
O00000152,2025-11-28 13:44:36,2025-11-29 02:37:23,C122116,P102624,3,17.47,2.62,0.0,paid,delivered,WH-AP-04,UPS,True,order_service,49.79
O00000153,2026-01-18 14:55:09,2026-01-18 15:32:06,C122679,P111153,1,42.6,0.0,9.99,paid,cancelled,WH-ME-04,Local Partner,False,order_service,52.59
O00000154,2026-02-23 04:42:40,2026-02-24 00:13:51,C107128,P104204,1,15.96,0.0,3.99,paid,delivered,WH-ME-02,UPS,True,shipping_partner,19.95
O00000155,2026-03-17 08:01:07,2026-03-18 19:29:33,C111504,P110229,1,33.43,0.0,0.0,paid,delivered,WH-LA-03,DHL,True,order_service,33.43
O00000156,2026-01-22 23:15:15,2026-01-23 00:55:19,C111029,P111081,1,29.16,0.0,3.99,paid,in_transit,WH-EU-02,FedEx,False,shipping_partner,33.15
O00000157,2026-02-13 20:29:44,2026-02-13 20:33:52,C101342,P102667,1,17.74,1.77,5.99,paid,delivered,WH-EU-03,Amazon Logistics,False,payment_gateway,21.96
O00000158,2026-01-19 12:30:13,2026-01-20 05:32:58,C112745,P103048,1,9.09,0.0,5.99,paid,delivered,WH-AP-03,UPS,True,shipping_partner,15.08
O00000159,2026-03-18 14:19:05,2026-03-18 15:10:50,C111589,P107156,3,24.54,14.72,0.0,paid,delivered,WH-EU-04,Amazon Logistics,False,shipping_partner,58.9
O00000160,2026-03-13 20:24:54,2026-03-14 19:55:18,C120656,P105632,1,68.38,0.0,5.99,refunded,delivered,WH-EU-02,DHL,True,shipping_partner,74.37
O00000161,2026-01-06 08:26:00,2026-01-07 05:43:40,C105079,P111515,1,15.91,0.8,5.99,paid,delivered,WH-NA-04,FedEx,True,order_service,21.1
